Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-0011	3085.3	2461.2	6522.5	2254.0	1096.9	5409.8	8995.8	6107.7	3761.3	8236.2	6199.7	5734.5	3598.9	4922.4	1322.0	3891.9	3712.3	955.5	2664.8	3350.6	6897.0	3979.4	11590.7	9109.1	1982.5	12836.2	16604.4	9926.6	7684.2	8193.4	211.7	572.3	623.8	8778.0	2393.8	2084.1	6409.2	2821.4	785.5	4787.3	9876.2	5838.9	3436.3	10220.4	6567.8	6057.2	3529.8	6058.3	1400.1	4401.4	2884.7	971.4	2558.6	3444.6	5869.1	4138.4	12885.3	8394.5	1812.3	11099.8	17039.8	10462.9	5420.5	7477.4	354.8	644.6	528.0	8990.7	29104.5	28499.5	213872.27543	211636.208917	425508.484347	1346231.0	1243840.702788
sub-0012	1904.1	2682.8	6694.9	2738.6	918.2	6096.0	10598.3	5423.6	3582.5	9336.7	6736.1	5940.3	3660.7	5957.0	1494.6	3592.4	2910.4	901.9	2926.0	3568.2	6812.6	4133.9	13061.5	8514.1	2117.1	12813.2	17440.7	11873.4	7287.4	8087.3	291.6	704.0	657.4	8866.2	2862.9	3209.0	5424.1	2402.8	852.8	6216.1	10569.1	5377.2	3145.9	10166.0	6661.8	6040.4	4362.4	5561.1	1624.0	5005.6	3802.3	1248.4	3178.4	3939.8	7649.5	3921.9	13622.8	7228.6	2250.2	13587.0	14927.5	11499.4	5909.9	7876.2	357.2	695.2	570.2	9060.8	29812.4	30710.1	221883.009911	223032.520869	444915.530779	1431586.0	1264759.854439
sub-0013	3036.0	2918.4	5672.3	2398.4	950.9	5135.5	9567.1	5678.7	2827.8	7779.1	5597.8	4128.9	3066.2	5759.6	1262.2	3017.0	2846.1	765.5	2718.9	2401.9	6665.0	4268.8	12071.5	6342.0	2873.6	9519.8	16073.9	9780.5	6892.1	6042.8	268.7	598.9	647.8	8953.4	2213.2	2879.6	6260.0	2038.1	786.4	5747.7	10114.3	5569.8	2516.7	9178.6	6845.1	3557.7	3934.4	5781.6	1426.0	4360.9	2548.1	916.0	2542.0	2062.0	6806.4	3993.6	13292.3	7640.5	1893.5	9604.4	14214.3	10213.6	6098.2	6396.8	342.1	659.3	517.0	8779.1	24926.2	23244.3	194309.184941	195046.174835	389355.359776	1298699.0	1265525.676304
sub-0014	2942.6	3015.9	6951.7	2084.9	1162.6	6812.4	9723.5	5838.2	3519.4	9269.7	6853.7	5843.2	3610.5	4813.1	1407.2	3552.8	2771.9	1000.5	3208.1	2772.5	7173.9	4145.0	12389.6	8124.8	2587.5	12076.4	17581.2	10060.7	7118.9	8414.2	245.7	568.1	944.9	9064.7	2411.1	2776.4	5655.0	2041.5	780.2	6633.6	11878.2	5820.6	3155.2	8517.9	7812.4	4533.2	3506.3	6579.5	1781.7	4429.0	2537.8	1249.0	2650.8	2879.5	6308.8	3825.9	12097.8	9065.9	2385.8	13668.5	16724.3	10479.9	6593.5	7514.8	290.9	624.3	662.8	8684.4	31711.8	32672.1	220494.550473	220385.755515	440880.305988	1437701.0	1194162.842278
sub-0015	3193.2	3149.1	6545.3	2532.5	912.0	6651.4	8677.0	6391.4	3687.2	10139.6	6987.6	5011.2	4017.9	5180.5	1512.7	3880.8	3272.1	912.0	2786.2	3524.3	7459.7	3818.3	12504.3	8314.0	2419.7	12609.2	16094.5	11032.5	7330.1	8780.5	298.0	537.9	647.5	9633.4	2821.7	3222.7	6049.2	2617.3	931.9	6052.5	11767.7	5924.2	3235.2	9744.0	7757.9	5113.9	4011.3	6417.0	1278.5	5400.4	3133.9	1251.3	3176.1	2912.5	6586.7	3691.0	12611.3	9061.7	1783.0	13837.8	16555.0	11205.7	6008.3	7364.4	379.0	541.7	529.9	9060.0	29268.2	29396.7	220053.285239	222423.906464	442477.191703	1450505.0	1339820.259997
sub-0016	2968.7	2320.4	6956.2	2235.8	950.2	6624.0	8654.0	6644.8	3477.8	8681.5	6301.7	4457.9	2624.5	6157.3	1630.6	4030.9	3582.3	971.7	3117.0	3170.4	6830.6	3872.9	12031.9	8515.0	2506.5	11795.8	17457.5	11546.8	7381.0	8435.2	290.5	646.3	688.8	10995.8	2183.2	2272.0	6004.2	2336.9	927.2	6092.2	11255.2	5796.7	3271.6	9291.9	6281.1	4791.9	3751.7	6456.6	1326.5	4029.0	3807.3	1144.9	3477.8	2615.7	7335.8	3777.9	11496.6	9474.3	1796.0	13522.2	16725.2	10088.1	6324.5	8635.7	324.7	603.4	619.5	10167.6	22993.4	21237.4	210988.678106	209437.464804	420426.14291	1425296.0	1474210.897235
sub-0017	3044.0	2213.8	6152.3	1847.1	1065.7	5064.4	9478.6	6152.4	2962.9	6700.4	6042.8	3896.3	2691.1	4955.1	1402.8	3187.0	2783.6	890.2	2759.7	2125.3	6549.8	4444.1	11269.6	7166.6	2640.1	11177.0	16050.2	10100.5	6668.3	8786.5	240.1	535.3	430.1	8236.3	2128.6	2516.2	4648.1	2443.8	1030.9	5134.4	10000.0	5827.6	2930.1	8666.1	6313.6	4840.1	3399.7	5147.2	1420.6	3971.4	2690.5	996.3	2773.0	2410.3	6493.9	3941.2	12494.1	8605.3	1800.3	10833.8	15076.2	9319.3	5065.0	7645.5	253.3	464.4	517.9	8909.5	28011.0	27750.8	198513.761375	199139.897581	397653.658956	1289078.0	1337595.153561
sub-0018	3529.5	2897.7	5140.4	2865.8	1125.7	6716.5	9768.6	6782.5	2952.2	9797.0	6907.9	4848.1	3375.1	5062.1	1605.8	4720.5	3842.9	923.5	3567.9	3556.9	7219.4	4217.0	11727.4	10850.5	2375.6	12713.5	17664.2	12427.6	6915.3	9716.6	266.3	731.8	669.4	10021.5	2820.9	3061.8	4853.7	2813.9	1016.4	6259.0	11775.1	6209.2	2741.0	10134.2	7798.1	5432.3	4207.0	5060.8	1587.4	5147.4	4109.2	1158.5	4151.3	3581.4	6533.1	3676.5	12816.8	11012.7	1969.7	12784.7	16974.3	12027.9	6701.7	8887.5	370.3	835.8	570.4	9516.5	27525.2	30763.5	228820.445173	230285.746281	459106.191454	1426684.0	1314539.920729
sub-0019	2619.9	2186.1	5520.0	1937.9	1246.3	6488.0	8035.7	6195.2	3176.0	8411.3	6613.2	4664.0	2719.5	4412.8	1536.0	4482.1	3233.1	1177.5	2939.8	2489.2	6746.1	4612.2	12764.7	8861.9	2551.5	11784.0	15319.7	10924.8	7232.6	8317.8	263.3	633.4	639.3	9829.7	1836.1	2352.6	5131.4	2243.0	976.3	6421.1	9074.5	5973.1	2770.3	9529.9	6599.9	4969.8	2947.4	4804.9	1473.5	4973.0	2941.8	1312.6	3456.2	2626.7	6582.8	3863.1	12080.4	9247.3	2298.7	13285.1	16216.7	10593.4	6140.2	8633.4	292.0	574.1	472.0	8924.3	26850.6	26864.6	206733.691372	209563.37058	416297.061952	1410315.0	1196587.615369
sub-0020	2290.7	2748.6	6248.1	2330.4	914.9	6633.9	10358.6	7559.3	3257.5	9540.2	7077.5	5283.1	3802.8	6863.8	1641.8	3780.6	3168.0	955.9	3372.2	2765.5	6124.0	4649.1	12222.2	9075.8	3380.2	13397.2	17037.3	12385.2	7202.5	8122.4	303.0	487.9	785.9	8927.4	2842.3	3037.0	5361.0	2075.2	746.1	7261.2	12782.5	6284.5	2991.1	8795.4	7840.7	4262.3	3925.2	6574.3	1399.0	4704.5	3034.6	1304.2	3404.4	2554.5	6510.1	4141.1	10708.8	10837.0	2128.8	15612.5	17871.2	11037.5	6537.6	8186.3	422.9	489.9	493.4	8910.6	29170.0	27767.7	225036.662641	223247.921157	448284.583798	1496187.0	1315502.237016
sub-0021	4221.5	2899.2	6756.5	2238.8	938.2	7906.0	11163.8	8861.4	4578.3	11868.3	8027.5	4602.2	3706.2	7129.4	1621.6	5083.1	4670.7	1098.1	3493.4	2266.7	8996.4	5747.6	14037.2	9767.7	3142.4	16264.0	21031.1	12681.4	10429.7	11237.6	335.3	701.9	900.8	10402.0	2968.7	3541.6	6917.8	2196.4	1126.9	7338.3	14836.2	7603.1	3398.2	10205.8	7909.9	5934.1	4855.9	7801.2	1967.0	6170.0	2951.2	1511.2	3398.9	2646.3	8441.9	5188.5	14844.1	10099.7	1983.8	17696.8	20583.4	12588.3	8838.4	9795.9	410.8	708.9	693.9	10115.9	32927.2	34618.1	261393.306803	262213.331163	523606.637966	1774075.0	1609779.54358
sub-0022	3183.6	2873.5	6018.7	2886.4	1146.1	7266.5	9462.4	8672.7	2970.8	10701.2	6659.0	6164.5	3944.4	7755.7	1667.3	4311.6	3237.2	986.5	3183.3	3598.3	7106.4	4636.9	11179.8	8776.7	2215.1	13784.7	19062.8	11938.9	8280.4	8444.2	315.3	850.6	843.4	9769.7	3102.1	2886.2	6128.8	3046.3	958.4	6473.9	12047.1	7637.3	3265.7	10730.0	6588.8	7150.8	4080.7	7658.9	1700.3	5040.3	2897.2	1349.6	3421.0	3680.4	7454.9	4002.3	11276.9	8466.0	2099.2	15555.4	16345.1	11481.8	6917.2	8045.6	387.9	870.6	675.7	9638.5	29173.5	28055.2	233711.322842	232840.515528	466551.83837	1561077.0	1408518.840885
sub-0023	3190.8	2439.7	6723.0	2913.6	1026.3	6593.0	9064.4	5399.8	3421.9	10762.3	6746.3	5641.9	3583.4	5108.9	1598.5	3920.6	3768.6	783.7	3112.3	3425.6	6290.6	4160.5	11504.2	9233.4	2330.8	12697.9	17219.0	9505.5	7958.5	8431.9	213.2	608.5	662.0	10163.4	2409.9	2290.4	6462.3	2897.4	804.1	6443.3	10883.5	6257.9	3053.3	9907.3	7128.1	4639.3	3639.1	6437.5	1633.6	4223.4	3879.7	1073.3	3183.0	3093.4	6585.4	4037.3	11850.9	10168.0	1834.6	12537.4	16956.9	11110.9	6606.0	8519.8	318.9	648.9	435.3	8767.2	31267.0	30994.8	222544.861051	223418.113507	445962.974558	1386153.0	1210037.224423
sub-0024	2736.0	3340.5	6871.0	3338.6	802.4	8050.9	12079.2	7300.5	4268.1	14177.5	6836.3	5953.7	4381.0	4742.1	1651.1	3982.1	4767.9	1192.2	4128.5	4002.6	7450.6	4545.7	12930.3	10132.8	2860.4	15451.2	16767.8	11153.3	8562.6	9593.7	335.1	748.6	746.1	10085.1	2588.7	2428.9	6766.4	3162.1	775.8	7769.2	11054.4	6973.6	3469.1	15511.3	7030.2	6519.6	3418.8	6923.4	1638.7	5280.3	3497.9	1391.2	3314.3	3254.3	7220.7	4547.5	14283.1	10102.5	2661.3	14867.5	19631.4	13673.5	6933.4	8540.0	450.6	795.9	521.2	9804.1	33824.5	34100.5	250430.364892	253326.26735	503756.632243	1606212.0	1703918.889579
sub-0025	2797.0	2808.9	6269.9	2015.7	786.3	5441.3	9690.8	6572.0	3309.4	9538.0	6717.3	5120.4	3151.7	5623.5	1398.7	3499.2	3026.8	1033.9	2771.7	2509.4	6600.6	5115.8	11701.3	7918.4	2515.3	11128.2	19729.5	9789.3	8413.0	8064.0	318.7	550.9	741.7	9513.0	3477.0	2616.0	5850.0	1660.4	627.2	5792.5	12053.8	5569.8	3163.8	8438.6	6458.6	4917.9	3064.2	6632.8	1622.0	5674.1	3466.7	1064.4	3188.4	2164.4	6571.9	3898.2	11414.2	8984.1	1993.9	11691.6	17864.2	11349.9	6365.9	8024.1	375.4	454.0	542.0	9661.3	29720.7	28978.3	215394.900852	216481.574058	431876.47491	1469434.0	1193695.388857
sub-0026	2722.6	3004.0	6364.3	2846.6	926.1	7472.7	10921.9	6562.1	3785.8	11554.3	6642.7	6177.4	3412.2	5649.8	1639.3	4541.2	3831.6	1212.1	3153.5	3002.2	7334.9	4619.1	12845.2	9616.5	2477.0	13900.4	19077.7	14531.7	9885.9	8969.1	272.9	648.2	721.0	10119.9	3476.6	2461.8	6828.8	2873.7	842.1	6922.4	11733.9	7204.8	3016.1	11073.5	6545.7	5702.9	3470.6	7373.7	1619.3	5382.2	3782.8	1318.0	3570.2	3449.9	7177.5	4258.8	13746.5	9768.9	2338.3	13018.0	19539.7	12780.1	6764.2	7896.0	466.6	610.1	438.7	9610.8	33364.0	34263.6	244445.784846	241701.908233	486147.693079	1546283.0	1520543.146445
sub-0027	2936.2	3186.4	5727.1	2645.1	622.2	6008.9	8366.1	5670.6	3325.6	8359.1	6452.6	5211.1	3070.4	4712.4	1204.1	4264.5	3244.0	986.4	3311.2	3242.5	6433.6	4223.2	11299.8	8902.3	2604.4	12877.3	17999.5	10449.3	7280.8	7301.2	232.6	646.9	848.4	8378.1	2680.2	2875.3	4623.4	2102.9	505.5	6324.1	8604.0	4973.8	2968.4	9034.1	6889.6	5074.4	3299.3	5835.6	1512.3	5049.9	2479.4	1346.2	2938.5	3100.3	5994.8	4072.5	11243.1	9132.5	1913.7	15443.3	15620.8	10878.6	6139.0	7166.5	339.6	544.9	664.2	8722.9	25343.8	26201.6	208070.871108	208711.049462	416781.920571	1370985.0	1143148.09348
sub-0028	3412.1	2693.0	7189.5	3452.8	1404.4	8089.3	12102.5	6444.7	4922.1	12951.1	7692.1	7520.9	4453.1	6079.2	2093.0	4722.9	5103.5	999.9	3923.0	4635.1	8232.7	4825.1	13816.6	10936.2	3503.9	14819.1	20012.3	13874.2	9795.1	9304.1	282.2	804.0	903.2	11761.8	3072.1	3010.0	7283.6	2930.3	1216.0	7328.1	12077.9	7640.2	4069.0	14789.5	7322.0	7615.7	4242.4	7368.4	1671.1	4695.9	3524.9	1759.3	3815.3	3596.4	9188.5	4808.7	13566.5	11605.6	2179.8	14218.9	19307.2	13034.3	7808.7	11861.6	388.8	779.3	559.9	11797.6	39314.0	39131.5	270754.444553	270782.826556	541537.271109	1666359.0	1768709.871258
sub-0029	3400.1	2704.7	6865.9	2089.2	916.6	6539.2	9339.0	5998.4	3751.3	9230.1	6915.7	5040.9	3508.1	5244.9	1476.0	3729.8	3399.1	817.9	2838.4	2876.0	7429.3	4135.0	11720.8	8773.6	2502.9	12602.5	18011.1	9743.7	7692.1	8775.6	294.0	584.8	704.0	8809.7	2353.9	2941.7	7153.0	2239.6	894.1	5775.8	11815.7	6286.5	2848.3	9544.9	6813.3	4996.2	3423.9	6038.6	1334.9	4278.5	3382.8	887.0	3089.4	2993.2	7139.7	4499.5	13051.4	9189.8	2062.9	11932.6	17710.6	11232.1	6444.0	7200.5	322.8	602.7	577.2	9151.6	32362.4	30759.0	220520.094684	222920.519486	443440.61417	1429174.0	1307248.794911
sub-0030	4640.6	4355.7	6126.1	3070.6	1090.9	8167.2	12702.5	9493.9	4920.5	13797.0	7132.6	6328.3	4194.5	8512.1	1656.9	4238.8	3388.4	1300.3	3704.2	2818.5	8724.6	5400.4	12847.9	11325.9	2721.6	16912.2	17897.7	13755.8	8628.5	13984.8	304.1	806.2	1088.7	10510.9	3966.8	3170.4	5918.8	3183.7	928.4	6791.9	16842.4	7930.8	3683.9	13266.5	7429.5	6426.9	4194.5	8346.8	1648.0	4978.2	3555.2	1543.2	4026.4	3033.7	8399.6	5127.6	12048.1	12930.8	2359.8	16215.8	20272.8	13657.6	8208.2	11008.6	413.5	828.8	659.3	10431.1	37869.7	35849.3	275640.483062	269934.505741	545574.988803	1703882.0	1634121.287963
sub-0031	1859.1	2400.8	5936.5	2790.7	770.5	5243.1	8333.9	6149.0	3827.2	10775.6	6222.6	4906.7	3573.6	5603.2	1195.2	3716.2	3009.4	1067.9	2426.5	3344.9	5949.4	4276.6	12791.1	8062.6	2156.6	10035.6	16373.6	11155.9	8304.3	8249.8	301.2	640.7	776.3	9867.5	2292.9	2745.2	5286.5	2448.4	911.6	5198.3	10185.5	6014.1	3027.2	11444.7	6561.0	4446.9	3420.6	5563.5	1304.7	4125.3	2948.0	1136.1	2480.6	2989.1	6299.2	4067.0	13235.8	7631.2	1920.8	10914.2	16336.6	11909.3	5987.1	6711.9	372.4	528.6	447.9	9460.0	28015.4	26219.7	209298.05308	208208.521211	417506.574291	1343637.0	1329892.526925
