rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0014	652.0	896.0	815.0	915.0	813.0	2144.0	1048.0	984.0	310.0	179.0	1470.0	858.0	244.0	431.0	2758.0	4361.0	489.0	496.0	1378.0	974.0	1294.0	1724.0	862.0	2086.0	2040.0	1385.0	1503.0	1119.0	1593.0	1495.0	669.0	377.0	275.0	1200.0	693.0	520.0	1473.0	2130.0	254.0	127.0	913.0	2133.0	1167.0	1308.0	1908.0	785.0	432.0	664.0	852.0	798.0	344.0	1105.0	1963.0	2296.0	170.0	2581.0	510.0	806.0	542.0	753.0	1337.0	253.0	584.0	1090.0	1623.0	841.0	1375.0	943.0	917.0	264.0	892.0	1088.0	4613.0	241.0	83126.2	1120069.0	1194162.842278
sub-0015	661.0	867.0	1019.0	924.0	869.0	2362.0	1071.0	856.0	334.0	204.0	1533.0	824.0	260.0	603.0	2756.0	4449.0	515.0	494.0	1520.0	1124.0	1231.0	2186.0	922.0	2116.0	2011.0	1398.0	1839.0	1312.0	1816.0	1680.0	617.0	185.0	259.0	1232.0	452.0	427.0	1770.0	1839.0	258.0	184.0	805.0	2257.0	1129.0	1446.0	1806.0	892.0	288.0	678.0	972.0	898.0	292.0	1664.0	1847.0	1575.0	264.0	2334.0	721.0	904.0	471.0	794.0	1280.0	417.0	638.0	1267.0	1690.0	799.0	1664.0	1288.0	755.0	335.0	751.0	949.0	4478.0	212.0	85540.6	1171623.0	1339820.259997
sub-0016	727.0	802.0	925.0	1023.0	741.0	1948.0	776.0	954.0	377.0	223.0	1507.0	1028.0	301.0	773.0	2518.0	4319.0	472.0	790.0	1634.0	1147.0	1187.0	1866.0	951.0	1886.0	1805.0	1737.0	1530.0	1391.0	1438.0	1589.0	613.0	132.0	342.0	1308.0	505.0	532.0	2024.0	2171.0	239.0	246.0	1008.0	2240.0	1178.0	1673.0	1845.0	750.0	444.0	886.0	918.0	786.0	334.0	1681.0	1697.0	2037.0	281.0	2000.0	968.0	696.0	627.0	876.0	1259.0	491.0	696.0	971.0	1992.0	937.0	2022.0	1288.0	912.0	287.0	915.0	786.0	4301.0	209.0	86470.2	1139249.0	1474210.897235
sub-0017	670.0	810.0	771.0	939.0	782.0	1853.0	841.0	942.0	329.0	189.0	1444.0	797.0	223.0	436.0	2333.0	3926.0	410.0	440.0	1335.0	907.0	993.0	1714.0	1119.0	1746.0	1668.0	1507.0	1312.0	1255.0	1627.0	1455.0	598.0	390.0	182.0	1058.0	386.0	560.0	1529.0	1836.0	228.0	180.0	807.0	2014.0	994.0	1329.0	1904.0	713.0	398.0	815.0	788.0	796.0	292.0	1138.0	1428.0	1519.0	255.0	2068.0	530.0	724.0	587.0	806.0	1104.0	234.0	696.0	952.0	1497.0	863.0	1359.0	1085.0	1097.0	257.0	677.0	1001.0	3972.0	147.0	76564.5	1029582.0	1337595.153561
sub-0018	755.0	852.0	905.0	1134.0	852.0	2070.0	1005.0	1021.0	316.0	184.0	1647.0	1082.0	255.0	850.0	2734.0	4237.0	548.0	521.0	1705.0	1237.0	1626.0	2120.0	854.0	2006.0	2221.0	2100.0	2095.0	1152.0	1670.0	2045.0	663.0	473.0	247.0	1219.0	557.0	702.0	1869.0	1692.0	390.0	367.0	982.0	2669.0	1411.0	1667.0	1911.0	746.0	370.0	766.0	1105.0	849.0	257.0	1229.0	1453.0	1443.0	358.0	2824.0	861.0	746.0	457.0	938.0	1501.0	362.0	599.0	1030.0	1962.0	819.0	1645.0	1132.0	902.0	350.0	923.0	720.0	3960.0	220.0	89143.2	1134499.0	1314539.920729
sub-0019	718.0	828.0	875.0	1107.0	807.0	1967.0	849.0	1123.0	354.0	159.0	1382.0	817.0	316.0	677.0	2814.0	4677.0	426.0	463.0	1489.0	1061.0	1311.0	1901.0	905.0	1978.0	1553.0	1748.0	1380.0	1191.0	1518.0	1605.0	630.0	176.0	326.0	1097.0	508.0	540.0	1295.0	1674.0	371.0	250.0	974.0	2066.0	1143.0	1335.0	1951.0	899.0	370.0	869.0	1042.0	1021.0	300.0	1351.0	1678.0	2333.0	338.0	2219.0	808.0	929.0	521.0	728.0	1454.0	277.0	557.0	1077.0	1737.0	812.0	1554.0	1038.0	1072.0	264.0	884.0	777.0	3282.0	327.0	82855.3	1113947.0	1196587.615369
sub-0020	704.0	974.0	791.0	862.0	898.0	2398.0	1063.0	998.0	305.0	185.0	1318.0	881.0	225.0	675.0	2676.0	4195.0	451.0	363.0	1470.0	944.0	1656.0	1510.0	794.0	1993.0	2398.0	1694.0	1870.0	1206.0	1445.0	2066.0	700.0	328.0	246.0	1246.0	803.0	612.0	1800.0	2274.0	210.0	184.0	869.0	2117.0	1179.0	1476.0	1712.0	924.0	363.0	685.0	978.0	874.0	426.0	1658.0	1985.0	2121.0	283.0	2092.0	625.0	856.0	405.0	866.0	1178.0	409.0	489.0	1093.0	1839.0	985.0	1745.0	973.0	679.0	123.0	791.0	920.0	5242.0	185.0	86556.6	1150630.0	1315502.237016
sub-0021	780.0	976.0	1068.0	1143.0	1266.0	2742.0	1374.0	1206.0	486.0	238.0	1403.0	1029.0	292.0	721.0	3250.0	5500.0	455.0	476.0	1882.0	1091.0	1488.0	1984.0	900.0	2516.0	2527.0	2194.0	2203.0	1615.0	1970.0	1830.0	664.0	536.0	333.0	1628.0	656.0	768.0	2381.0	2566.0	355.0	27.0	986.0	2510.0	1528.0	1509.0	2415.0	1169.0	422.0	866.0	1131.0	992.0	408.0	1826.0	2531.0	2638.0	391.0	3013.0	771.0	1096.0	753.0	1080.0	2128.0	464.0	808.0	1233.0	1834.0	1214.0	2184.0	1330.0	1041.0	342.0	991.0	1244.0	6012.0	359.0	105735.0	1372085.0	1609779.54358
sub-0022	663.0	1121.0	925.0	953.0	883.0	2272.0	936.0	879.0	311.0	212.0	1777.0	879.0	296.0	674.0	3036.0	4137.0	439.0	455.0	1936.0	1227.0	1436.0	2205.0	871.0	2088.0	2117.0	1601.0	1788.0	1473.0	1521.0	1532.0	596.0	173.0	275.0	1312.0	624.0	572.0	1951.0	2452.0	232.0	199.0	941.0	2887.0	1385.0	1927.0	1898.0	932.0	264.0	783.0	848.0	807.0	364.0	1764.0	1906.0	1840.0	312.0	2111.0	728.0	1143.0	593.0	1032.0	1481.0	335.0	534.0	945.0	1526.0	881.0	1979.0	1255.0	756.0	245.0	829.0	1266.0	4818.0	193.0	90537.4	1221000.0	1408518.840885
sub-0023	542.0	716.0	713.0	1165.0	739.0	1950.0	873.0	809.0	341.0	214.0	1703.0	868.0	247.0	669.0	3020.0	4199.0	358.0	393.0	1597.0	1269.0	1398.0	1799.0	789.0	1838.0	2025.0	1616.0	1702.0	1180.0	1467.0	1583.0	576.0	262.0	290.0	1161.0	554.0	551.0	1583.0	2143.0	288.0	261.0	935.0	2266.0	1143.0	1479.0	1605.0	699.0	353.0	680.0	996.0	761.0	391.0	1519.0	1247.0	2015.0	247.0	2085.0	596.0	1251.0	560.0	850.0	1380.0	274.0	657.0	1029.0	1794.0	763.0	1749.0	1423.0	820.0	250.0	923.0	950.0	4099.0	241.0	83484.6	1084941.0	1210037.224423
sub-0024	671.0	1200.0	1090.0	1310.0	1149.0	2693.0	1047.0	1063.0	318.0	235.0	1844.0	1203.0	351.0	704.0	3132.0	5182.0	478.0	439.0	2056.0	1541.0	1886.0	2186.0	873.0	2073.0	1963.0	1602.0	1828.0	1413.0	1933.0	1646.0	554.0	196.0	293.0	1297.0	556.0	537.0	1952.0	2133.0	284.0	161.0	963.0	2697.0	1329.0	1629.0	1903.0	1000.0	428.0	627.0	1167.0	825.0	439.0	1423.0	2305.0	2492.0	256.0	2476.0	1049.0	998.0	643.0	944.0	1635.0	435.0	526.0	1024.0	1846.0	982.0	1962.0	1379.0	1165.0	274.0	802.0	1035.0	4228.0	258.0	96214.1	1255311.0	1703918.889579
sub-0025	676.0	718.0	1011.0	974.0	822.0	2013.0	763.0	1009.0	320.0	159.0	1099.0	926.0	295.0	584.0	2465.0	5161.0	540.0	388.0	1486.0	783.0	1240.0	1678.0	754.0	1658.0	2343.0	1476.0	1473.0	1219.0	1477.0	1564.0	536.0	326.0	213.0	1454.0	584.0	524.0	1695.0	2168.0	279.0	311.0	886.0	1870.0	1060.0	1307.0	1972.0	973.0	401.0	675.0	1024.0	606.0	306.0	1336.0	1422.0	2184.0	384.0	2269.0	502.0	848.0	594.0	836.0	1338.0	286.0	697.0	960.0	1369.0	881.0	1664.0	1132.0	846.0	219.0	664.0	931.0	4987.0	163.0	82759.1	1140770.0	1193695.388857
sub-0026	685.0	914.0	991.0	938.0	927.0	2229.0	926.0	1055.0	366.0	206.0	1689.0	930.0	239.0	808.0	3193.0	5166.0	494.0	401.0	1578.0	1198.0	1273.0	2059.0	870.0	1992.0	2274.0	1610.0	1800.0	1464.0	1823.0	1690.0	609.0	269.0	244.0	1353.0	583.0	488.0	2396.0	2314.0	321.0	234.0	939.0	2665.0	1387.0	1519.0	1858.0	987.0	396.0	763.0	932.0	860.0	338.0	1722.0	1778.0	1849.0	299.0	2464.0	687.0	901.0	592.0	731.0	1452.0	280.0	548.0	1090.0	1666.0	799.0	2022.0	1374.0	1108.0	287.0	798.0	1113.0	4780.0	238.0	91820.9	1228402.0	1520543.146445
sub-0027	884.0	774.0	958.0	925.0	1335.0	2212.0	923.0	904.0	291.0	184.0	1455.0	924.0	333.0	499.0	2369.0	4366.0	435.0	522.0	1352.0	935.0	1329.0	1898.0	607.0	2062.0	1784.0	1527.0	1875.0	1107.0	1424.0	1725.0	641.0	125.0	249.0	1076.0	499.0	523.0	1620.0	1874.0	278.0	173.0	834.0	2456.0	1145.0	1450.0	1760.0	982.0	502.0	740.0	855.0	549.0	257.0	1339.0	2253.0	1918.0	181.0	2166.0	680.0	826.0	417.0	881.0	1456.0	447.0	511.0	1143.0	1607.0	830.0	1621.0	1084.0	771.0	51.0	800.0	816.0	4173.0	219.0	82698.3	1091162.0	1143148.09348
sub-0028	786.0	1137.0	822.0	965.0	961.0	2225.0	928.0	987.0	478.0	209.0	1698.0	875.0	417.0	714.0	2568.0	4624.0	551.0	671.0	1712.0	1247.0	1405.0	2451.0	1186.0	1989.0	2094.0	2230.0	1588.0	1490.0	1720.0	1826.0	591.0	192.0	265.0	1294.0	535.0	1075.0	2315.0	2154.0	222.0	208.0	1124.0	2805.0	1434.0	1917.0	2061.0	990.0	639.0	994.0	1119.0	994.0	272.0	1522.0	1789.0	2128.0	275.0	2136.0	989.0	918.0	679.0	859.0	1325.0	347.0	537.0	1003.0	1968.0	1109.0	2117.0	1379.0	911.0	295.0	1262.0	1228.0	4735.0	210.0	95470.3	1285061.0	1768709.871258
sub-0029	562.0	1045.0	804.0	1058.0	803.0	2128.0	1014.0	1105.0	339.0	172.0	1514.0	994.0	294.0	700.0	2247.0	4631.0	408.0	489.0	1284.0	768.0	1329.0	1994.0	708.0	1773.0	2159.0	1417.0	1810.0	1329.0	1709.0	1797.0	495.0	210.0	281.0	1176.0	547.0	423.0	1643.0	1944.0	256.0	168.0	860.0	2297.0	1277.0	1586.0	1883.0	820.0	362.0	837.0	902.0	719.0	252.0	1286.0	2077.0	2321.0	228.0	2082.0	468.0	755.0	525.0	694.0	1196.0	300.0	598.0	996.0	1431.0	968.0	1909.0	1481.0	998.0	194.0	817.0	973.0	4108.0	168.0	83894.1	1121926.0	1307248.794911
sub-0030	752.0	1140.0	866.0	1141.0	1072.0	2606.0	1047.0	1099.0	454.0	210.0	1647.0	988.0	293.0	633.0	3146.0	4523.0	441.0	454.0	1944.0	1248.0	1257.0	2352.0	1069.0	2001.0	3010.0	2037.0	1567.0	1631.0	1540.0	1848.0	604.0	246.0	230.0	1327.0	1005.0	703.0	1783.0	2624.0	272.0	113.0	925.0	2539.0	1402.0	1583.0	1820.0	937.0	444.0	767.0	1026.0	806.0	464.0	1777.0	2088.0	1953.0	395.0	2517.0	931.0	1381.0	842.0	871.0	1557.0	429.0	684.0	1122.0	2041.0	1258.0	2238.0	1269.0	713.0	240.0	1066.0	1180.0	6059.0	267.0	98507.7	1360253.0	1634121.287963
sub-0031	768.0	968.0	835.0	963.0	816.0	2058.0	833.0	872.0	353.0	184.0	1612.0	761.0	244.0	577.0	2250.0	4473.0	442.0	413.0	1450.0	1047.0	1085.0	1682.0	684.0	1760.0	1652.0	1537.0	1806.0	1217.0	1820.0	1506.0	555.0	297.0	244.0	1169.0	529.0	469.0	1566.0	2094.0	270.0	180.0	909.0	2777.0	1113.0	1493.0	1868.0	942.0	331.0	764.0	1011.0	592.0	303.0	967.0	1354.0	1899.0	196.0	2079.0	756.0	1146.0	640.0	821.0	1378.0	315.0	501.0	1122.0	1167.0	910.0	1510.0	1052.0	1117.0	141.0	755.0	854.0	4078.0	186.0	81083.9	1066825.0	1329892.526925
sub-0032	662.0	950.0	961.0	1190.0	819.0	2460.0	1002.0	983.0	455.0	225.0	1939.0	1027.0	300.0	699.0	3494.0	5009.0	445.0	609.0	2196.0	1049.0	1183.0	2554.0	1101.0	1906.0	2075.0	1810.0	1685.0	1391.0	1503.0	2079.0	600.0	383.0	272.0	1344.0	550.0	758.0	1881.0	1825.0	293.0	267.0	1087.0	2962.0	1372.0	2216.0	1759.0	845.0	410.0	828.0	1157.0	1151.0	446.0	1622.0	2000.0	1995.0	431.0	2287.0	829.0	859.0	545.0	922.0	1060.0	346.0	662.0	1010.0	1948.0	750.0	1945.0	1379.0	736.0	289.0	905.0	918.0	4433.0	208.0	94246.6	1264512.0	1489493.778253
