Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0011	96.3959	102.3899	98.6998	95.1286	82.2429	92.1187	97.7737	90.5745	102.6567	92.1665	94.4032	92.3613	95.5479	90.9531	91.0998	97.3102	96.0231	87.6319	93.9219	92.9395	93.8525	101.1828	95.499	100.1111	101.0339	96.4472	95.4121	97.3134	94.562	98.7823	86.1325	76.2486	95.1843	93.0075	97.1148	102.3856	94.5323	95.5904	77.8384	91.5902	96.1676	88.163	101.7322	94.5598	95.5681	93.5353	95.9338	88.6502	88.9586	96.1582	96.0381	87.6968	93.7792	92.8465	91.0127	100.5356	94.0923	99.4448	102.7529	95.6719	94.2927	95.7881	90.2013	96.1754	86.6667	78.6455	94.5061	92.8503	101.1598	100.8127
sub-0012	93.2522	102.4748	96.1283	95.4137	83.5798	90.36	96.1046	87.7119	103.5094	90.5227	96.0901	88.4407	97.2814	89.6793	89.7712	95.4041	95.3878	84.779	95.528	91.1077	92.1133	101.8935	95.089	97.4756	99.4446	97.342	94.3819	96.2505	94.7415	98.0044	87.3074	75.8914	96.5008	94.8959	99.4037	102.7068	94.0745	93.8448	81.5659	89.4496	93.8706	88.766	104.5667	90.4687	96.8748	88.161	96.9075	89.3218	90.1992	96.9132	95.4186	87.2171	93.4226	89.2523	91.2227	101.3323	93.4228	97.7519	102.8653	94.9574	92.6131	95.9755	89.8481	97.1869	87.4294	77.1917	94.3103	93.1405	102.047	101.5712
sub-0013	98.0722	102.2909	95.7655	92.8484	82.2988	89.1822	96.5477	87.9609	97.984	92.9287	93.0444	85.4833	88.7732	89.669	85.2655	93.5469	94.3337	83.498	93.1636	90.1858	92.1431	98.0541	93.5561	96.6273	98.5251	94.3432	93.2784	96.4213	91.0526	98.5805	89.3305	78.9049	94.318	92.4402	96.729	98.8059	96.2449	87.9593	79.0548	87.0024	92.875	85.9084	99.2945	89.6999	91.9065	83.658	92.5822	86.7634	85.3254	94.5931	94.5111	84.6791	94.1371	87.5767	91.7973	98.726	93.3997	95.2661	97.8354	95.0458	93.4241	95.1005	90.208	95.8482	90.7642	79.0	93.5944	92.1711	99.454	98.6117
sub-0014	98.2168	104.6004	97.1298	91.5307	79.8225	91.6803	98.3515	90.5227	102.7946	93.5176	94.4229	89.919	91.9912	90.9976	85.7143	93.8384	97.5403	86.8462	95.5453	89.3407	91.8323	102.3898	96.0056	98.5247	101.743	95.9933	94.2395	96.2038	94.3986	99.3419	87.6653	75.2362	99.9505	94.0428	100.1312	102.9042	94.5557	90.5927	77.3874	92.4275	96.2129	89.2729	103.169	93.283	94.8962	87.6265	93.9493	89.9159	88.2446	94.1073	94.9798	85.3238	93.5865	86.6765	91.0255	100.9121	94.2847	97.0828	105.0469	94.7389	92.7629	93.6359	93.0326	97.7607	79.5615	77.2409	98.1403	92.1892	102.0792	101.7963
sub-0015	98.3924	101.0221	97.6924	92.5468	78.6074	91.303	96.8578	89.5759	100.3808	88.9624	93.1139	86.8868	96.8737	90.4446	87.8653	97.5251	94.8465	86.5832	94.5068	88.5832	93.207	100.5779	96.4509	98.4024	98.6124	94.6939	94.7876	97.4447	93.6135	98.1538	90.254	74.7961	96.337	90.9678	97.748	101.6312	96.0418	89.8801	78.7899	89.4165	96.6196	87.8482	100.1472	90.7195	97.1252	85.2002	98.9398	90.4398	86.8747	97.1441	97.111	87.4662	96.2327	86.0032	92.436	99.3019	94.7187	96.6578	101.3745	96.0103	94.0489	96.7691	91.5207	97.946	91.5895	75.279	97.6562	90.3433	100.1461	99.4019
sub-0016	97.9977	101.5903	95.8828	90.0442	83.546	92.3892	98.6398	88.9295	98.6807	91.2522	95.0996	85.3939	94.9988	90.3058	86.2689	96.0574	97.4414	88.049	96.4857	88.7445	93.7664	99.1857	95.446	96.9569	100.7699	97.2511	93.9715	97.8967	93.421	98.3257	91.1536	78.8084	93.7576	91.4162	97.7669	100.6938	94.7602	92.1944	82.0934	91.2896	96.808	87.3107	100.0144	93.1952	95.7676	87.7436	97.4854	89.4085	87.2986	95.695	96.8955	87.5208	94.319	88.0144	93.5797	98.388	94.4581	97.8469	101.063	96.7334	94.0611	98.1521	91.1224	98.7464	90.1408	78.1837	96.4217	91.2301	99.3222	99.4252
sub-0017	97.7493	100.1697	97.1124	91.1448	80.842	90.4258	99.4808	89.7641	101.0044	91.4108	96.6933	88.2702	95.2957	89.8404	86.8465	96.9589	96.8256	89.0177	96.8674	89.7805	94.6849	99.7948	96.0372	99.2637	99.2867	96.5879	95.2403	99.5186	95.7195	99.0812	90.3846	76.308	93.7471	92.1378	96.5887	100.2936	95.0156	94.7428	77.9151	88.5965	97.1367	88.171	100.8975	92.9308	97.5761	88.7753	95.356	88.2837	85.2221	96.6402	97.2882	91.5217	96.5294	87.531	92.6483	99.1648	94.8779	98.9968	103.4708	97.3617	94.4019	98.1541	90.6196	97.0804	86.2607	74.931	98.0711	90.9099	100.5412	99.9063
sub-0018	100.6935	105.5284	97.966	90.522	83.8843	89.9352	97.3351	88.9487	104.6367	91.2654	95.8627	88.9317	95.5734	89.8068	91.1349	96.6981	96.2768	83.1792	95.2761	90.2129	93.0991	103.0973	95.622	98.5778	102.3409	96.1256	93.1424	95.018	94.4203	96.6083	83.5917	80.7024	97.5727	95.3598	97.5068	104.7053	94.5881	91.0972	79.5949	89.0743	95.2829	86.1327	102.2864	90.8462	94.4484	88.7522	97.8281	85.7569	88.3182	96.4436	93.0861	83.4067	91.6763	89.591	89.0214	103.1087	92.6545	98.697	101.4957	94.877	92.9742	94.3411	89.9653	94.1226	88.1856	79.6337	93.3402	94.1958	103.9211	103.3432
sub-0019	95.3075	100.727	95.9333	92.4766	79.6723	90.1708	97.7811	89.0725	98.9786	92.0745	95.7534	88.9803	92.8108	87.4511	86.7329	96.2957	96.0268	88.1978	95.4403	89.0896	91.1239	99.2184	94.4321	97.5667	101.1001	97.2771	95.4427	98.3677	93.1515	96.0916	85.8516	76.2308	93.5817	92.1287	96.5554	101.5772	94.8553	91.8887	77.5361	90.2145	96.758	88.6989	100.475	91.3245	95.6374	87.0665	94.0051	87.3313	86.1592	96.1619	96.6822	85.8169	93.026	87.6185	91.6078	98.5713	94.5245	98.889	103.8724	95.9141	94.1721	98.0639	90.8346	97.5201	89.4545	77.0036	91.3932	92.0391	100.35	100.7754
sub-0020	98.1415	101.651	95.1181	91.4924	81.2647	91.62	94.7534	86.4147	101.9412	88.804	95.892	87.8035	94.3868	89.904	87.6134	93.5954	95.9216	84.8515	95.3203	90.4601	91.2643	100.3681	94.4358	98.4829	100.0999	96.0665	92.7025	95.8023	94.2253	97.324	86.5937	75.8848	99.9589	92.6617	99.4936	100.2208	93.7622	89.8089	77.8558	91.0414	95.2531	87.3849	102.6653	89.9692	95.3909	85.3017	96.3844	88.5147	88.8928	96.0081	96.9219	87.4205	94.4776	86.5807	92.0939	101.0182	93.9072	98.6768	101.3248	95.0593	92.6152	95.1111	94.0431	98.6454	85.1977	75.4711	99.0542	92.3859	100.3161	101.2634
sub-0021	95.7283	99.2696	95.734	91.1151	80.531	92.5117	93.75	90.054	103.1219	91.0973	95.317	89.9642	93.5316	89.1891	90.7804	96.3459	96.3862	87.6894	95.0409	91.3848	92.5978	101.5025	95.377	99.1705	98.8971	96.5297	94.0853	97.3852	93.9628	98.1852	90.4956	78.5205	96.471	92.7196	94.8932	103.4957	93.7599	91.8758	80.9316	89.8993	94.905	86.5652	102.2997	88.8438	95.0282	89.9043	95.6993	86.8749	87.6267	97.6772	93.2971	85.3453	93.4933	89.6489	89.7464	101.5642	92.9079	98.3513	99.9216	94.2563	93.4345	94.8183	89.1552	96.8326	88.323	78.7112	92.9887	89.4494	101.0696	100.2685
sub-0022	99.6626	99.9966	97.8804	89.5987	77.4377	88.9908	98.5965	90.6138	100.9354	91.9064	93.7221	83.3417	93.7267	92.0126	83.9709	95.769	96.3556	88.2725	96.365	85.2741	92.3671	99.6907	95.9165	97.6222	96.2591	96.9002	94.8745	97.2863	94.0304	97.279	92.0327	71.7751	97.2239	94.1631	99.1343	99.1119	95.119	89.8725	76.0557	86.4216	95.7712	87.1494	99.7708	90.473	94.9703	84.5789	96.4015	89.721	82.8067	96.3992	93.8204	86.6518	94.4423	85.2651	89.9252	97.8621	93.5184	96.2729	100.6728	94.9128	92.9286	96.6771	90.7696	95.3419	90.3568	73.3563	95.6501	91.1678	100.371	99.4333
sub-0023	98.9216	103.8565	96.3943	94.8358	81.4476	91.939	97.2	90.4051	104.0924	93.3555	96.1986	89.9659	96.6375	90.7909	91.2888	95.9549	97.7709	85.7065	96.1108	89.1999	92.7363	101.2402	96.4419	100.0293	101.4696	95.7134	94.1701	95.4462	96.8179	98.7165	85.8455	80.5455	96.9419	94.156	97.5093	104.2506	94.8488	94.9855	79.5908	91.162	94.889	87.4758	101.7317	93.4279	96.2569	89.1207	97.6328	87.9007	89.813	95.7704	97.7065	87.6388	93.5125	89.2445	91.5506	100.615	94.0442	98.8425	101.9022	94.512	93.5876	94.8857	92.4298	96.8702	87.1018	76.9119	93.7014	93.3262	100.958	100.67
sub-0024	95.9599	101.6153	99.0781	93.281	78.7404	89.7142	96.9906	91.0464	96.963	94.0217	94.7177	85.2279	92.7764	86.1981	84.1631	94.4066	95.5539	89.7712	95.572	89.4436	93.8845	97.1577	95.5574	95.2349	95.6649	98.1798	95.5755	97.2313	94.5229	97.5675	88.3811	79.9309	93.0385	91.9484	98.6538	98.5177	95.4278	89.7137	76.9262	88.5317	96.6825	90.2745	97.0094	91.4469	95.3686	84.2948	91.7651	91.8433	81.0683	94.215	95.6527	87.8737	93.9357	83.9547	92.7108	96.8771	95.0804	95.2957	101.0713	95.6037	94.8353	96.7051	92.6305	99.6508	91.2116	80.3797	92.5664	90.5882	98.989	98.6646
sub-0025	97.2721	102.868	95.0664	91.4508	81.1085	91.2705	99.5053	90.816	100.4912	93.2115	93.588	89.4956	93.9536	90.2387	89.8148	94.8043	94.6723	85.5467	94.8348	89.3396	93.6249	102.074	94.5811	98.5351	95.461	94.6268	95.6542	97.1374	95.4446	98.722	88.3355	71.9961	99.0568	93.0409	99.4991	106.312	95.2625	93.4028	80.0803	90.4536	95.471	88.2276	101.0752	92.2863	97.4915	89.8306	96.8555	90.5912	90.6202	96.0299	95.7917	87.3771	95.64	90.8144	92.4264	101.8794	93.8182	98.8057	103.4475	95.2836	95.0445	96.6839	92.2408	97.6134	91.5608	76.7648	97.9401	91.8321	100.4883	101.0951
sub-0026	96.534	102.1019	96.8535	93.3087	82.0981	91.3725	98.9787	89.7304	99.8394	93.2643	92.9022	87.9087	93.5021	88.8811	88.8248	94.6958	96.7593	88.0684	95.6578	88.5137	92.8682	99.5193	96.0862	98.0526	98.0513	96.0785	95.4644	97.6986	93.6975	98.133	89.0144	83.4069	92.8058	91.6805	99.1658	100.7456	96.0529	94.244	79.925	91.3578	97.2256	88.1199	99.9747	94.4855	95.5997	88.8771	92.0862	91.0012	87.6558	94.7611	97.1693	90.174	93.3503	89.1968	92.1298	99.0408	94.4266	97.7771	101.86	94.5651	95.3294	97.4187	91.8195	98.2328	92.1693	79.3993	94.4167	90.764	99.5073	99.1725
sub-0027	99.6147	103.8696	94.0482	94.0348	80.0627	91.5115	97.8262	89.2445	102.7048	94.1764	94.2076	91.1159	93.042	88.2491	87.9377	95.2839	94.1221	85.0279	93.9304	93.8038	90.7155	99.8507	95.1304	100.0302	100.2614	94.4564	93.9073	97.1561	93.5194	97.2408	85.8151	75.0491	98.2324	94.7023	98.506	103.12	92.1757	92.7578	80.7865	91.3585	93.6981	84.9959	104.9481	91.3133	96.9472	92.0713	96.3202	86.0295	89.8927	97.0228	94.3348	86.5401	92.4264	88.5728	90.214	101.9502	93.151	98.8073	102.8432	93.8842	94.2608	94.2554	89.5672	95.6721	88.118	75.4277	96.4594	92.7107	101.9967	102.0589
sub-0028	98.0856	102.0052	97.8252	94.0866	86.2555	92.0086	98.6438	92.0308	99.128	94.5424	93.3192	89.5694	90.9841	92.2998	91.3015	97.3431	98.0637	88.3556	95.0304	89.6821	95.4238	100.5638	97.3551	97.831	97.7194	97.8016	96.0423	98.1028	95.7453	100.0395	90.8408	81.0553	96.7878	93.255	95.842	99.9487	96.3585	92.7831	84.2823	89.7452	96.5033	87.6703	99.3053	92.8087	93.7243	88.785	93.974	89.2556	91.4326	96.7549	97.0141	90.3647	94.8436	87.7824	92.508	100.5667	94.0245	97.5077	96.4842	96.0677	94.9172	99.0883	91.9634	96.4342	89.6769	80.6306	94.0144	91.6935	99.2535	98.4711
sub-0029	96.3743	103.9397	98.7736	91.3413	84.6565	92.2865	98.442	89.6535	101.7368	91.924	95.9815	87.1427	93.5848	90.0029	89.6771	96.5237	97.2951	87.868	95.3353	88.462	94.3139	101.3057	96.071	98.9676	97.6698	97.5995	95.1743	98.7368	93.195	98.3583	89.4836	81.2255	95.5417	93.7762	97.1441	101.5313	97.2994	88.0107	84.021	90.1681	95.687	87.5827	101.2329	90.2488	95.0784	86.1382	94.9725	87.6451	89.0539	96.8733	97.7791	86.4746	94.7682	85.8821	93.7745	100.5179	95.5163	97.9349	101.1602	95.7668	93.6861	97.5115	90.9842	98.0976	88.7428	80.8859	95.5338	91.1088	100.3067	100.0672
sub-0030	96.8014	100.876	98.3173	91.033	81.8471	90.3033	98.7258	90.1363	99.341	91.4873	92.7159	85.4027	94.3915	91.9326	86.7494	94.9729	94.6796	89.46	96.3709	84.4858	92.4303	99.513	96.2624	97.4945	96.1181	98.2957	95.5158	97.3816	93.8279	97.7922	89.3774	84.2957	98.0628	92.5129	98.611	100.1653	97.1979	90.5203	78.4054	90.5584	97.3256	90.7676	98.8775	92.5772	94.2841	86.7192	95.4912	92.1338	86.799	94.7253	96.4789	88.8779	95.1218	85.2072	91.5782	97.9132	95.2281	96.6586	97.5962	95.9503	96.3458	96.5617	93.7441	97.9531	90.0095	81.921	97.1114	89.9558	98.9276	98.995
sub-0031	98.7939	103.0516	98.0559	90.8892	79.8568	90.4245	99.2924	92.1791	101.3521	95.3111	95.5877	88.0339	96.0541	93.115	88.1466	95.8543	97.8177	92.1937	96.9446	85.4526	95.3511	101.5664	96.5386	98.2194	101.1468	97.7145	95.7203	98.2666	97.2523	100.3771	89.7672	78.5895	97.0151	94.6549	97.7361	100.7754	95.2341	92.1793	81.3106	89.0138	98.4874	88.5571	101.2983	94.0595	96.7747	87.6189	98.0085	89.6076	87.5315	95.9019	97.8022	90.0122	96.1035	85.5034	94.3555	99.7555	95.56	97.6904	100.6085	96.2852	94.2938	98.425	92.6114	98.4253	89.485	77.9139	97.022	93.2981	101.4084	100.3898
sub-0032	99.5747	101.9658	97.8666	93.052	83.5241	92.6823	98.6744	92.8713	101.5525	91.7055	95.4742	87.6442	97.7189	93.779	92.6077	96.1468	97.7195	91.2711	98.1565	89.8811	95.1957	101.5072	96.0389	99.1503	96.4993	97.7519	96.2646	98.5544	98.3783	99.1671	95.2443	80.4911	98.1976	94.1581	99.8419	103.4992	96.3443	93.4633	81.0991	91.3177	96.9344	89.8126	101.2391	92.6894	97.2986	89.7494	94.7267	92.7805	91.382	96.3022	97.8	90.609	95.2953	90.4781	92.915	101.0287	95.0324	99.3483	102.6706	95.7695	95.6248	97.1121	95.427	98.7785	92.974	78.9605	98.1443	93.1727	100.6336	99.5778
sub-0033	90.9139	103.319	96.1858	93.1466	83.3368	91.8053	95.0933	86.7146	101.8519	90.0625	92.3958	89.4186	89.3384	86.3968	91.0665	94.3555	96.243	84.1998	94.3397	90.1917	91.9249	100.502	93.9328	97.7904	100.7747	96.864	93.5583	97.6288	92.0421	95.8304	89.8357	77.2768	93.3551	92.0402	98.4603	103.4827	95.4645	90.5079	81.2509	91.8946	94.3941	89.0713	101.9548	91.4285	94.7151	88.7432	92.8069	90.1198	91.2645	92.8838	95.8105	86.6144	93.9056	86.48	92.7072	100.3046	93.52	97.451	102.5098	94.7449	92.955	96.3026	91.4719	98.4941	87.5428	79.1865	94.8254	89.2396	100.738	100.8973
sub-0034	101.2464	103.6742	98.2421	93.9075	83.5824	93.6645	98.0018	88.9582	102.3204	95.1752	96.0719	91.5541	94.4114	92.701	91.5289	96.0394	96.2863	86.629	95.0016	91.0373	95.144	100.5767	96.5244	99.615	100.9852	97.0874	95.8147	96.4645	95.5935	98.6804	85.8081	76.7107	99.105	94.2828	100.5658	100.6008	96.2577	93.3008	83.3812	92.4093	98.0823	89.8678	101.1936	93.6296	97.287	90.929	97.7703	93.3442	91.6435	95.6054	97.5164	90.0159	96.7618	90.479	93.9845	99.9843	95.9667	98.3509	101.6015	96.4777	95.6646	95.9335	95.5518	98.2049	90.6161	77.9441	97.9743	92.802	101.4202	100.3425
