Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-0011	3909.4	350.8	13819.4	57031.6	7216.3	3375.5	5227.7	1926.5	668.2	1661.7	19879.7	3688.5	1434.3	758.7	629.5	3946.5	9.9	486.1	3679.4	473.7	12630.0	53916.3	6722.8	3537.9	5240.9	1768.0	3868.3	1472.8	637.9	3833.9	0.0	486.4	0.0	587.2	0.0	0.0	0.0	0.0	0.0	122.3	780.9	566.6	547.7	552.4	925.0	1086342.0	1074820.0	1074537.714086	229414.832099	227982.39764	457397.229739	213872.27543	211636.208917	425508.484347	56281.0	623563.229739	949352.714086	940611.714086	939375.0	1346231.0	0.873377	1.082318	17.0	19.0	36.0	1243840.702788
sub-0012	7144.2	326.6	14249.3	53631.1	7673.6	3898.0	5297.5	1971.8	813.6	1692.4	21336.3	4056.6	1592.6	889.9	637.4	4230.6	43.1	468.8	7388.2	262.9	14657.5	55157.1	7085.0	4059.5	5005.9	2004.9	4121.3	1553.1	705.1	4051.4	13.7	694.4	0.0	886.3	0.0	0.0	0.0	0.0	0.0	160.6	966.8	659.4	432.4	461.5	961.8	1130294.0	1111331.0	1111034.501132	234101.952467	236397.017886	470498.970353	221883.009911	223032.520869	444915.530779	59595.0	638300.970353	992235.501132	976426.501132	975208.0	1431586.0	0.893683	1.131903	12.0	8.0	20.0	1264759.854439
sub-0013	5655.3	266.2	11378.2	51661.6	7048.4	3833.7	4771.9	1777.3	1247.1	1871.8	18074.5	3791.6	1444.1	978.7	684.0	3448.5	62.3	406.6	5358.2	428.6	10836.0	51219.0	6971.5	3627.0	5004.7	1759.8	3757.5	1457.9	784.4	3432.4	64.8	360.8	0.0	806.4	0.0	0.0	0.0	0.0	0.0	127.7	875.6	430.0	541.2	485.4	850.2	1005824.0	990010.0	989798.619443	208794.71584	213546.543827	422341.259667	194309.184941	195046.174835	389355.359776	55021.0	579355.259667	879746.619443	867856.619443	866927.0	1298699.0	0.794788	1.026213	24.0	34.0	58.0	1265525.676304
sub-0014	4724.7	511.6	13196.6	53359.5	7142.3	4023.0	5135.4	1837.2	889.5	2355.4	20328.6	4035.8	1430.8	856.2	695.3	3941.3	31.8	417.2	4109.5	231.6	12698.9	52142.3	6990.2	4057.8	5153.5	1852.6	4097.5	1364.5	645.9	3916.7	26.8	552.0	0.0	913.1	0.0	0.0	0.0	0.0	0.0	162.8	914.8	612.9	575.9	565.6	904.8	1133796.0	1120069.0	1119777.133725	245263.456422	246292.371315	491555.827737	220494.550473	220385.755515	440880.305988	57743.0	654263.827737	1001419.133725	991531.133725	990381.0	1437701.0	0.949448	1.20394	8.0	7.0	15.0	1194162.842278
sub-0015	4491.0	685.0	14187.1	56845.3	7668.9	4196.7	5137.2	1879.6	687.6	2220.7	22098.9	3928.8	1556.2	667.1	697.7	4240.1	59.3	380.8	5313.2	446.4	14212.0	57881.9	7426.7	4164.8	5072.3	1754.5	4032.9	1651.9	642.3	4057.5	43.5	447.5	0.0	1399.3	0.0	0.0	0.0	0.0	0.0	143.2	746.6	462.7	448.4	489.4	711.8	1186110.0	1171623.0	1172010.690577	261738.785953	265846.712921	527585.498874	220053.285239	222423.906464	442477.191703	59706.0	702122.498874	1042798.690577	1031704.690577	1029347.0	1450505.0	0.885275	1.082612	12.0	7.0	19.0	1339820.259997
sub-0016	6845.4	446.8	13254.1	58551.3	6644.5	3466.4	5340.0	1884.4	775.6	1944.0	20797.8	4363.8	1582.5	669.7	720.3	3925.0	40.2	458.2	4965.0	452.4	12702.4	57490.3	6639.5	3614.3	5371.4	1692.8	4659.5	1532.3	588.4	4007.3	41.1	516.9	0.0	803.7	0.0	0.0	0.0	0.0	0.0	153.9	795.7	460.7	414.5	371.0	692.4	1155554.0	1139249.0	1139036.111856	260796.575026	259158.39392	519954.968946	210988.678106	209437.464804	420426.14291	57891.0	693492.968946	1013200.111856	1000024.111856	998407.0	1425296.0	0.783846	0.96682	15.0	10.0	25.0	1474210.897235
sub-0017	5704.5	304.4	11661.4	51020.5	6890.1	3983.9	5202.6	1653.4	953.9	1572.5	18626.3	3549.1	1301.6	825.3	575.4	3540.2	36.8	444.0	4254.1	300.1	11276.7	49560.9	6434.1	3998.6	5016.2	1627.6	3500.2	1439.2	610.7	3497.7	13.1	465.1	0.0	697.2	0.0	0.0	0.0	0.0	0.0	179.5	878.3	597.5	469.0	494.8	890.7	1043623.0	1029582.0	1029529.658117	229950.600649	225428.398513	455378.999162	198513.761375	199139.897581	397653.658956	53987.0	609954.999162	919954.658117	909056.658117	906973.0	1289078.0	0.780223	0.963728	9.0	7.0	16.0	1337595.153561
sub-0018	6358.4	290.6	12598.0	52752.1	7351.4	3529.1	5719.2	2007.0	834.8	1000.5	19028.8	4217.0	1551.6	1129.1	695.4	3716.4	90.0	498.5	5794.8	545.2	12559.4	52402.5	7197.7	3656.1	5824.4	1992.1	4313.1	1512.9	637.8	3761.7	21.9	480.8	0.0	1325.8	0.0	0.0	0.0	0.0	0.0	204.6	822.6	438.4	366.2	406.3	896.4	1150779.0	1134499.0	1134573.665505	242986.824372	243794.649679	486781.474051	228820.445173	230285.746281	459106.191454	59334.0	651224.474051	1020661.665505	1007133.665505	1005060.0	1426684.0	0.875423	1.085311	7.0	12.0	19.0	1314539.920729
sub-0019	5255.3	198.6	15571.9	59065.1	6909.9	3637.5	5857.0	1864.3	730.0	1326.7	22409.6	3791.4	1307.2	686.4	587.7	3851.9	39.0	351.3	5193.2	234.0	14501.0	57137.2	6289.1	3687.0	5774.3	1806.9	3719.3	1583.7	575.5	4093.0	11.4	517.4	0.0	566.9	0.0	0.0	0.0	0.0	0.0	151.8	739.0	473.3	446.5	475.0	789.6	1127691.0	1113947.0	1113835.562874	245913.735123	250370.7658	496284.500923	206733.691372	209563.37058	416297.061952	56775.0	668649.500923	981852.562874	970649.562874	969378.0	1410315.0	0.942422	1.178614	15.0	14.0	29.0	1196587.615369
sub-0020	4599.2	455.7	14160.1	57731.8	8065.7	3937.1	5597.3	1950.5	634.0	1526.5	22398.2	4346.7	1943.4	956.0	870.3	4505.3	75.0	284.9	5026.1	451.1	13414.2	57010.8	8027.2	4259.7	5632.5	2066.4	4432.9	1966.9	709.3	4307.4	64.9	460.1	0.0	2167.4	0.0	0.0	0.0	0.0	0.0	197.0	803.6	466.9	415.8	448.3	830.0	1164048.0	1150630.0	1150454.749712	246238.919795	251044.246119	497283.165914	225036.662641	223247.921157	448284.583798	64440.0	675582.165914	1021865.749712	1011332.749712	1010119.0	1496187.0	0.88487	1.13735	6.0	10.0	16.0	1315502.237016
sub-0021	11715.1	642.4	15094.1	61607.0	8307.0	4242.7	5783.1	1974.8	1294.4	1771.2	22366.4	4617.7	2084.9	1328.0	935.2	4433.1	25.3	684.6	11195.3	654.6	15419.9	62458.5	7661.9	4367.5	5668.5	1877.7	4490.5	2274.2	855.5	4635.4	27.6	644.8	0.0	970.5	0.0	0.0	0.0	0.0	0.0	163.2	942.3	547.4	528.3	569.9	751.8	1401212.0	1372085.0	1371909.994883	315177.289067	314754.06785	629931.356916	261393.306803	262213.331163	523606.637966	65833.0	818665.356916	1245895.994883	1221027.994883	1219438.0	1774075.0	0.870437	1.102061	10.0	17.0	27.0	1609779.54358
sub-0022	7394.3	371.3	14248.9	62171.4	7015.7	3784.8	4224.8	1765.0	916.1	2173.3	22044.4	4160.7	1588.3	958.5	976.4	3977.6	26.1	411.7	8485.8	458.9	13731.1	60963.7	6991.4	4255.6	4357.3	1723.6	4270.5	1696.4	726.0	4003.1	18.4	535.3	0.0	1498.4	0.0	0.0	0.0	0.0	0.0	236.8	835.3	570.4	434.2	513.9	638.4	1241789.0	1221000.0	1220325.28548	273682.818666	273258.628444	546941.44711	233711.322842	232840.515528	466551.83837	57117.0	726638.44711	1089312.28548	1072362.28548	1071129.0	1561077.0	0.881628	1.108311	11.0	9.0	20.0	1408518.840885
sub-0023	7159.2	493.1	12655.5	54316.1	7314.1	3212.3	5153.1	2127.5	754.5	1456.6	19553.8	3746.2	1350.1	1043.7	628.8	4022.8	32.9	411.4	4430.7	598.5	12009.5	52885.1	7343.2	3261.7	5108.8	1952.4	3880.3	1403.4	597.2	4103.7	20.8	512.1	0.0	876.4	0.0	0.0	0.0	0.0	0.0	173.3	924.2	514.5	635.6	503.6	1021.5	1100881.0	1084941.0	1084763.976512	225737.449258	226169.552696	451907.001955	222544.861051	223418.113507	445962.974558	56745.0	615136.001955	969246.976512	956338.976512	954693.0	1386153.0	0.909791	1.145546	10.0	4.0	14.0	1210037.224423
sub-0024	8489.9	398.5	14003.4	62509.7	7759.6	3907.6	5562.9	1761.7	1215.1	1541.7	21892.0	4023.4	1594.9	1094.7	610.8	4059.1	162.8	571.8	10028.0	373.7	13593.0	62199.4	7546.1	4056.0	5615.2	1849.7	3704.7	1549.8	712.3	3712.1	30.4	479.0	0.0	1742.2	0.0	0.0	0.0	0.0	0.0	186.5	998.2	555.8	478.2	637.2	952.7	1278624.0	1255311.0	1255060.998175	268422.803145	271463.562787	539886.365932	250430.364892	253326.26735	503756.632243	59881.0	724618.365932	1125457.998175	1105750.998175	1103817.0	1606212.0	0.750402	0.942658	34.0	23.0	57.0	1703918.889579
sub-0025	5991.4	362.0	12131.7	57545.4	7519.0	3400.4	4623.8	1581.1	804.1	2452.7	18440.9	3758.8	1345.5	760.3	721.1	3797.4	45.5	441.2	3872.3	713.8	12208.6	58069.8	7425.9	3473.7	4688.1	1536.7	3846.8	1547.0	718.4	3897.1	35.0	416.8	0.0	969.9	0.0	0.0	0.0	0.0	0.0	185.8	917.1	574.6	430.1	536.9	746.1	1155650.0	1140770.0	1140649.417497	258197.382792	257080.559795	515277.942587	215394.900852	216481.574058	431876.47491	55382.0	685363.942587	1015032.417497	1003903.417497	1002575.0	1469434.0	0.968128	1.230996	13.0	7.0	20.0	1193695.388857
sub-0026	8098.4	429.5	13781.1	63126.5	7177.4	4210.9	5998.1	2149.9	1062.9	2277.8	21505.9	4281.5	1687.3	945.2	758.8	4176.7	26.5	667.0	6819.7	658.0	13464.9	63267.2	7028.9	4242.0	5784.3	1968.0	4487.6	1872.2	676.2	4278.0	17.4	659.8	0.0	1531.8	0.0	0.0	0.0	0.0	0.0	131.9	927.6	603.7	433.1	386.1	860.8	1249410.0	1228402.0	1228662.872025	264262.132681	263721.046265	527983.178946	244445.784846	241701.908233	486147.693079	62228.0	716222.178946	1095017.872025	1078110.872025	1076025.0	1546283.0	0.821687	1.016928	13.0	12.0	25.0	1520543.146445
sub-0027	4266.4	232.8	13441.2	59324.0	6118.3	3504.8	4271.0	1600.7	558.1	1450.4	18354.8	3659.8	1501.6	635.6	630.4	3411.0	21.2	368.1	3504.9	180.7	12369.9	57495.7	5954.1	3538.7	4136.8	1516.9	3831.1	1538.4	533.7	3592.4	24.1	436.3	0.0	1007.7	0.0	0.0	0.0	0.0	0.0	122.7	967.1	533.7	561.7	602.4	877.6	1101927.0	1091162.0	1091147.58075	242938.827681	239855.832498	482794.66018	208070.871108	208711.049462	416781.920571	50966.0	649527.66018	960380.58075	952025.58075	950484.0	1370985.0	0.963941	1.199307	18.0	9.0	27.0	1143148.09348
sub-0028	22232.2	690.1	16024.5	61168.7	8141.8	3881.2	5716.7	2330.4	1029.4	1540.5	22902.8	4572.8	1748.8	1379.6	842.5	4526.1	125.9	995.4	16329.5	500.5	15172.1	60441.0	7562.6	4035.3	5778.6	2260.2	4693.4	1639.2	732.9	4726.8	86.2	1024.9	0.0	1281.5	0.0	0.0	0.0	0.0	0.0	213.2	963.4	371.7	479.8	497.3	1129.0	1330223.0	1285061.0	1284938.600872	263598.355877	263722.973887	527321.329764	270754.444553	270782.826556	541537.271109	64809.0	712992.329764	1176713.600872	1135310.600872	1133773.0	1666359.0	0.752087	0.942132	13.0	6.0	19.0	1768709.871258
sub-0029	9127.2	409.0	14481.7	48668.0	7469.4	4110.0	5342.1	1979.7	733.2	2490.9	20714.3	3949.8	1667.8	766.7	738.6	4028.2	8.1	487.9	6332.9	354.5	13598.3	48684.3	6810.9	4190.4	5362.4	2109.3	4153.5	1655.2	578.3	3927.7	14.0	680.8	0.0	714.5	0.0	0.0	0.0	0.0	0.0	152.2	947.9	549.7	481.7	509.5	879.0	1142420.0	1121926.0	1122157.129842	245449.846889	249097.668784	494547.515672	220520.094684	222920.519486	443440.61417	59565.0	651887.515672	1016186.129842	999411.129842	997202.0	1429174.0	0.873912	1.093269	9.0	5.0	14.0	1307248.794911
sub-0030	8323.3	394.4	16443.3	62317.1	7254.8	3334.2	5418.2	1828.0	955.3	1796.3	23522.6	4071.4	1625.3	986.5	677.6	4517.1	43.7	518.6	6304.9	407.7	15933.1	62793.8	7499.6	3620.0	5477.2	1770.7	4262.6	1842.8	740.9	4398.8	30.6	609.6	0.0	1206.9	0.0	0.0	0.0	0.0	0.0	162.6	977.4	546.3	609.5	623.6	774.8	1379509.0	1360253.0	1360240.05604	297308.167977	300061.89926	597370.067237	275640.483062	269934.505741	545574.988803	59991.0	783637.067237	1221766.05604	1206043.05604	1202863.0	1703882.0	0.84419	1.04269	25.0	13.0	38.0	1634121.287963
sub-0031	4375.1	424.8	12582.5	52662.6	6830.7	2939.2	4735.3	1557.7	663.4	1974.3	19396.7	3552.9	1536.0	779.5	579.5	3678.2	24.4	567.7	5122.9	284.9	11749.3	52130.7	6559.9	3020.4	4578.1	1536.9	3728.9	1518.2	587.0	3686.4	28.2	508.9	0.0	781.3	0.0	0.0	0.0	0.0	0.0	140.0	1130.4	670.2	685.4	664.4	831.4	1080635.0	1066825.0	1067320.830509	237936.530171	232317.726047	470254.256218	209298.05308	208208.521211	417506.574291	52032.0	626633.256218	952007.830509	941326.830509	939217.0	1343637.0	0.812573	1.010335	13.0	9.0	22.0	1329892.526925
sub-0032	9314.9	217.9	15480.4	60362.9	8006.5	4283.1	5916.9	2229.8	818.9	1388.5	22083.2	4127.9	1465.2	698.9	819.6	4354.7	60.9	694.3	5621.7	249.5	14906.3	59341.9	7890.9	4039.3	5962.6	2259.1	4254.1	1763.6	674.6	4302.8	23.1	728.9	0.0	1138.6	0.0	0.0	0.0	0.0	0.0	160.9	978.7	578.9	515.8	548.9	1009.2	1283480.0	1264512.0	1264353.688973	266712.303036	271351.588957	538063.891993	255625.61462	257610.182361	513235.79698	63966.0	721534.891993	1133713.688973	1117393.688973	1115363.0	1577235.0	0.861689	1.058907	6.0	8.0	14.0	1489493.778253
sub-0033	8659.3	344.3	15110.8	54674.2	8756.4	4506.6	5846.7	2099.5	730.6	1729.7	22783.2	4116.2	1446.0	933.6	861.8	4714.4	27.5	597.0	7671.7	227.3	14675.1	55722.4	8108.5	4698.6	5949.9	2063.3	4290.5	1673.3	800.5	4408.5	22.1	736.7	0.0	919.1	0.0	0.0	0.0	0.0	0.0	149.2	1144.0	711.0	585.1	578.2	1206.1	1254974.0	1234151.0	1234229.739552	267352.859311	262606.52176	529959.381071	251256.050343	248110.308137	499366.35848	66098.0	705979.381071	1114725.739552	1097052.739552	1095249.0	1550168.0	0.902726	1.115065	17.0	8.0	25.0	1390204.431298
sub-0034	6698.0	373.3	14664.7	63764.6	7227.1	4258.8	5999.7	2235.7	911.2	2895.9	21775.7	3745.9	1882.9	1259.1	759.8	4117.0	35.6	513.1	5806.8	391.2	13738.7	62780.1	7004.4	4319.9	5917.2	2211.3	4040.0	1761.0	681.0	4183.1	28.9	556.3	0.0	1223.9	0.0	0.0	0.0	0.0	0.0	152.7	1079.2	555.4	705.3	672.3	950.8	1210814.0	1192164.0	1191844.594948	256851.423064	257283.090362	514134.513426	231633.990692	231629.09083	463263.081523	61484.0	701931.513426	1054425.594948	1040642.594948	1039110.0	1482969.0	0.781748	0.957461	11.0	8.0	19.0	1548854.973346
sub-0035	5927.8	257.5	13505.3	56939.7	7429.3	3822.4	5194.3	2024.1	737.1	2402.2	20794.4	4275.1	1907.9	895.6	687.2	4177.0	49.5	882.6	5013.2	438.7	13504.3	55299.0	7169.1	4074.8	5211.8	2057.7	4604.1	2139.1	733.1	4447.9	24.9	723.9	0.0	1067.3	0.0	0.0	0.0	0.0	0.0	142.7	992.3	528.8	501.3	480.3	1037.7	1194570.0	1178058.0	1177884.889116	257740.483972	256650.47794	514390.961911	233627.415466	230512.511738	464139.927205	61663.0	687706.961911	1054766.889116	1042060.889116	1040314.0	1489359.0	0.92923	1.15854	10.0	23.0	33.0	1285548.492311
sub-0036	3536.7	412.6	14130.1	56844.3	8585.7	4126.4	5838.2	1950.3	801.3	1940.3	22650.8	4450.6	1862.7	927.2	934.2	4238.2	18.7	486.3	3568.7	298.9	14418.2	57321.4	8484.0	4229.2	6020.9	1971.9	4800.8	1930.8	736.0	4327.7	16.6	591.7	0.0	834.6	0.0	0.0	0.0	0.0	0.0	159.6	828.8	524.7	629.6	479.8	967.9	1218188.0	1206564.0	1207011.898175	263295.632279	265688.240629	528983.872908	234355.899837	236094.125429	470450.025267	65943.0	708968.872908	1075483.898175	1067243.898175	1064819.0	1507027.0	0.919258	1.137219	17.0	15.0	32.0	1325186.698783
sub-0037	3541.1	543.9	13615.9	55054.0	6120.6	3474.9	4764.9	1705.6	564.3	1446.9	18482.3	3270.2	1433.4	734.1	689.5	3431.4	20.6	215.6	3241.3	279.6	13133.6	54523.4	6083.6	3362.3	4744.4	1674.0	3473.7	1362.3	731.9	3492.9	20.5	384.5	0.0	943.2	0.0	0.0	0.0	0.0	0.0	122.9	1020.4	621.4	735.6	658.2	972.5	1050661.0	1040608.0	1040656.971116	227666.985641	222497.5513	450164.536941	202991.571374	201436.862801	404428.434175	51286.0	610641.536941	915213.971116	907647.971116	905748.0	1335349.0	1.011066	1.285025	4.0	12.0	16.0	1039161.90809
sub-0038	4721.7	363.0	12241.3	51098.3	7336.1	3223.4	4650.0	1865.7	694.8	1164.9	18844.6	3739.2	1428.9	973.7	790.0	3801.0	36.9	408.7	4177.3	358.1	12542.7	51247.0	7333.8	3487.4	4736.9	1843.6	3605.1	1523.5	732.5	3821.4	19.4	474.8	0.0	1161.5	0.0	0.0	0.0	0.0	0.0	170.3	990.3	507.3	778.4	729.5	953.4	1189222.0	1176616.0	1176305.592669	264460.503488	259534.84292	523995.346408	235328.728323	235162.517938	470491.246261	55508.0	681958.346408	1061764.592669	1051830.592669	1050198.0	1492007.0	0.867837	1.088795	24.0	15.0	39.0	1370328.370742
