Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0011	29.5999	32.8061	83.7222	56.2987	83.7752	71.7239	76.2931	92.522	40.257	19.408	81.4592	58.0231	55.4363	37.3123	65.1669	86.7983	52.6	52.976	31.1884	27.8571	83.6582	54.9695	81.501	70.8904	76.0386	93.7012	56.8076	56.1659	66.6452	86.4249	0.0	54.9752	0.0	67.4675	0.0	0.0	0.0	0.0	0.0	73.4314	102.1165	95.4633	94.4182	96.275	103.6452
sub-0012	20.3096	38.2837	84.4197	55.8532	84.1645	71.3732	80.0431	96.763	33.3333	19.3813	82.8548	60.656	59.0507	34.2226	67.0611	88.4679	52.6667	48.2094	18.8944	34.8981	84.6401	54.0454	83.1337	71.6617	78.7554	95.662	58.5194	58.0654	67.8428	87.5353	53.7143	48.1751	0.0	69.3222	0.0	0.0	0.0	0.0	0.0	68.461	101.1854	90.1031	96.1691	100.8629	102.6129
sub-0013	24.9953	40.6858	85.2337	55.7016	79.307	70.1818	75.0869	92.6759	26.2464	23.4266	83.8286	57.5352	57.5993	33.5486	65.3095	85.1723	50.9783	46.7548	25.6866	32.9113	84.4572	53.0919	78.6571	69.2729	74.9414	92.1366	55.6224	57.5074	64.9111	85.3191	43.0667	46.8318	0.0	65.332	0.0	0.0	0.0	0.0	0.0	65.2613	99.6255	93.8847	92.5741	97.8692	104.1973
sub-0014	23.6856	35.9324	84.3409	53.0804	79.4324	68.6936	73.4824	91.6376	28.3038	15.5866	82.1066	55.87	53.782	30.3426	62.14	86.6252	52.3	48.2711	24.8953	34.1053	85.1628	52.5688	78.969	67.9055	72.5865	91.0117	55.3475	53.7916	63.6183	85.4717	44.8889	51.5345	0.0	67.3261	0.0	0.0	0.0	0.0	0.0	72.8	102.7635	94.2344	96.8489	99.1185	104.3811
sub-0015	28.6042	32.0731	86.1914	58.9839	83.9098	69.2073	75.8083	93.8756	33.7104	21.8962	84.0261	59.0226	57.1774	39.1875	64.8693	87.5698	50.0769	51.5599	26.0562	32.5501	85.485	57.6076	82.7646	69.5647	75.3644	94.3636	58.3993	56.8591	66.893	87.203	47.3333	47.46	0.0	65.4062	0.0	0.0	0.0	0.0	0.0	70.065	95.8106	92.574	93.1552	92.8183	105.5089
sub-0016	22.8788	38.1481	85.0722	57.841	79.5244	70.5657	76.4125	91.8918	33.5088	20.7681	83.0937	59.3879	58.2291	42.775	63.6484	86.8581	51.3333	50.7675	23.9131	29.5783	86.9467	56.6018	80.2739	70.6151	75.9279	92.2901	57.7711	55.4863	65.8774	85.6365	48.9655	50.256	0.0	66.0698	0.0	0.0	0.0	0.0	0.0	65.9926	96.3909	89.6335	94.765	95.3148	99.6412
sub-0017	22.4693	33.8007	86.1608	56.3699	81.0304	68.1094	75.3114	92.9333	25.885	19.7873	82.1772	57.4019	55.2502	35.0342	63.7083	86.6009	54.2	48.8407	25.4568	30.2698	84.8371	53.7596	80.5155	67.3188	74.2874	91.6393	56.6742	54.8317	64.7267	85.5885	45.5714	48.5879	0.0	66.4944	0.0	0.0	0.0	0.0	0.0	64.6312	99.3012	94.3431	94.4712	97.1914	102.1797
sub-0018	20.7394	38.7597	84.2939	53.9728	84.4264	72.0716	80.0323	98.9302	28.8726	22.2302	83.2626	58.6245	57.0592	33.8097	67.7962	89.5463	53.2895	50.8366	21.3354	25.209	84.9362	54.1078	85.0442	74.2443	78.6947	98.0334	55.7761	57.9741	69.2422	88.8834	59.6923	48.3037	0.0	69.9374	0.0	0.0	0.0	0.0	0.0	77.3107	102.5006	88.5948	97.5164	100.2121	105.8554
sub-0019	25.891	32.3976	84.4035	55.9491	82.396	69.9984	76.884	93.1799	34.3694	23.697	82.9224	56.7357	58.3573	35.8316	65.7956	87.9303	49.4615	54.0154	23.0038	36.0842	84.3417	54.8331	80.836	69.4053	76.3996	92.6488	57.4772	57.6409	66.8234	87.6534	58.6667	51.682	0.0	65.4708	0.0	0.0	0.0	0.0	0.0	83.1846	98.4646	89.739	98.0021	95.5438	104.1623
sub-0020	28.9399	33.2593	83.4998	56.4287	80.738	72.1635	77.1055	93.4146	33.712	22.8067	83.0901	58.9909	57.8258	34.9458	66.2532	87.4911	48.0847	52.8056	24.5964	35.019	84.6378	56.4175	82.0183	72.5556	77.7235	93.8955	59.0633	58.8478	67.4826	88.3592	42.8039	52.0154	0.0	66.0693	0.0	0.0	0.0	0.0	0.0	68.7127	100.1408	91.1174	92.4292	99.5658	103.0552
sub-0021	19.7617	35.8063	86.7649	56.2484	83.1892	69.0429	75.4026	93.5428	26.2065	21.6245	81.554	60.556	58.1487	34.8844	62.058	88.0963	55.4375	49.106	18.5119	30.9115	84.4294	53.4624	79.1795	69.137	74.014	91.5107	56.8362	55.1213	64.7571	85.7621	50.2105	44.4856	0.0	66.9247	0.0	0.0	0.0	0.0	0.0	67.6424	104.5429	90.8049	92.0283	96.4679	105.5437
sub-0022	27.8671	41.5616	83.374	58.1314	84.1787	72.3827	79.0685	94.9771	33.232	20.5966	81.6342	62.0602	60.1915	41.5202	65.5372	88.5887	57.0588	50.3455	21.9963	38.9082	81.7858	55.6776	81.673	70.9258	77.1169	93.2442	59.5852	52.4938	67.3474	86.3724	56.25	47.5117	0.0	66.677	0.0	0.0	0.0	0.0	0.0	61.7801	98.3527	84.4181	89.3361	89.5411	102.8499
sub-0023	18.8805	35.8542	84.0349	54.1826	82.7833	70.3397	76.5209	94.9551	31.0924	21.2662	81.6313	58.2844	57.0065	31.9504	65.1814	87.9797	53.7143	46.5786	23.2336	26.6128	83.8815	53.165	82.1464	69.5971	75.6032	93.5151	57.208	57.2928	66.2402	87.2353	51.1875	51.0109	0.0	61.7333	0.0	0.0	0.0	0.0	0.0	71.3669	103.2591	95.6966	93.4006	99.0401	103.3634
sub-0024	22.8199	40.2962	86.6384	60.2289	78.6765	70.3659	76.1169	93.165	26.9545	24.353	83.5795	61.0324	58.4501	35.3682	66.4434	85.9543	42.4444	47.2762	20.9706	36.2941	86.5154	57.8593	78.5434	68.88	74.5706	91.354	58.0071	56.7288	66.3863	84.2871	42.7895	46.9225	0.0	68.8251	0.0	0.0	0.0	0.0	0.0	65.162	97.384	87.6087	86.52	88.4942	101.0763
sub-0025	21.7251	35.0767	84.56	55.9692	81.5802	67.4699	74.2017	91.8467	26.9008	19.6425	82.2315	58.251	57.6009	32.3824	62.9388	87.6435	43.2857	49.1522	27.1429	24.5581	83.3557	54.1003	81.2458	67.7755	73.5247	91.6858	55.8017	57.6772	64.9807	87.5058	41.3929	50.7006	0.0	66.9253	0.0	0.0	0.0	0.0	0.0	70.7133	100.5515	93.2816	95.3418	97.2671	106.5956
sub-0026	19.5634	36.5088	84.976	55.7947	80.2483	66.2845	72.3043	90.9461	27.5618	19.1759	81.9175	57.1602	55.2563	33.597	59.8427	85.6068	46.4	47.3514	18.7214	24.752	84.8896	54.5806	79.4971	66.4154	71.7239	90.26	54.979	53.335	62.2829	84.7749	48.4167	47.3132	0.0	64.2991	0.0	0.0	0.0	0.0	0.0	71.5833	101.2707	90.5535	93.4492	96.3099	100.5778
sub-0027	24.5754	38.8125	85.3064	57.1298	82.2365	70.8829	76.8606	94.256	38.1773	21.0868	83.8979	58.757	55.2513	37.5789	66.8713	88.5391	55.0769	53.9585	28.1304	39.1401	85.0428	54.6445	81.7127	71.9196	76.0863	94.2584	57.5903	56.5191	67.3263	89.4034	46.3571	48.3647	0.0	60.8173	0.0	0.0	0.0	0.0	0.0	71.4653	101.3878	93.0405	96.0556	98.3693	107.8059
sub-0028	14.6579	33.0629	88.9475	58.645	83.0329	66.9334	74.3331	96.1848	29.6084	27.8807	84.0571	59.2521	59.0249	37.212	61.8349	89.2319	42.0342	41.9421	14.9494	32.9232	87.5275	56.3593	81.0295	65.413	72.5031	94.7389	57.9566	57.286	62.6733	88.3193	36.6197	41.5461	0.0	66.9933	0.0	0.0	0.0	0.0	0.0	75.4737	92.8484	91.1381	95.5851	95.9415	97.8706
sub-0029	17.7349	36.4718	84.1843	54.1103	83.0104	68.6724	73.9845	92.2758	28.3278	15.9506	83.0624	59.8752	57.0071	35.4676	60.8558	88.2025	55.6667	45.2975	19.3336	30.0586	83.6681	52.6567	80.3381	67.4014	72.4656	90.7279	57.1774	57.0912	62.8669	87.0282	51.625	46.2865	0.0	65.8507	0.0	0.0	0.0	0.0	0.0	71.7669	99.4024	94.1031	96.7221	100.9591	102.1418
sub-0030	23.0629	37.708	86.3279	58.7789	79.3583	67.3192	74.1152	90.5844	31.6744	23.8347	83.4706	60.3182	58.7823	35.8012	63.4271	88.0823	50.7188	46.3127	25.7011	32.7125	85.9103	56.9539	78.578	68.1215	73.2912	89.9497	59.0534	56.1809	64.303	86.3161	55.8095	47.9783	0.0	67.4344	0.0	0.0	0.0	0.0	0.0	69.2786	97.9609	91.6716	91.851	90.6011	101.7942
sub-0031	25.04	40.3648	85.0437	55.9832	83.9789	70.8837	77.398	94.8277	30.5712	20.7514	82.3789	59.1376	57.3276	37.9204	65.2	88.1923	53.6154	49.2959	22.1578	37.4297	84.6649	54.3556	83.6286	69.3944	76.8273	94.7489	57.6709	57.1353	65.8245	88.019	49.9412	45.1724	0.0	63.2431	0.0	0.0	0.0	0.0	0.0	76.1429	102.2272	95.3499	93.9537	94.5367	103.1751
sub-0032	20.0611	38.9034	84.3268	57.1491	84.5814	70.6658	78.9192	95.9223	31.0	24.4956	82.7295	61.2592	57.3057	40.5872	65.0063	88.1434	54.8776	47.0369	24.4555	36.7659	84.2043	55.4474	83.704	71.4967	77.8464	95.4575	59.8684	58.1729	67.8204	86.3089	54.5294	48.6026	0.0	67.8629	0.0	0.0	0.0	0.0	0.0	69.3846	99.97	91.4384	95.6775	98.3933	99.4588
sub-0033	21.4936	43.1338	86.4983	57.5223	83.4255	70.6654	76.6871	91.08	33.6006	20.9975	83.7462	60.9096	59.9749	38.4512	63.9905	86.9447	49.3529	51.0791	20.6944	39.4822	85.3264	56.177	80.9405	70.0936	76.0685	91.6471	59.1595	58.0557	64.1685	86.0687	51.3125	51.0686	0.0	67.5375	0.0	0.0	0.0	0.0	0.0	73.3664	103.0724	91.4066	96.0123	97.9342	101.4966
sub-0034	21.7041	39.2911	84.0912	55.4273	83.9997	72.2944	79.9283	97.022	30.7924	17.8498	82.7572	61.7105	59.5457	30.9265	67.6136	89.4135	52.2222	46.7608	20.4609	35.8375	83.6673	54.3334	82.7941	72.1147	79.4753	96.0048	61.1265	60.9167	68.766	89.5496	54.45	45.6583	0.0	65.1401	0.0	0.0	0.0	0.0	0.0	77.4604	102.2	92.2424	91.4884	95.8701	102.4232
sub-0035	22.1536	38.5955	83.0882	53.6646	83.8827	72.3089	79.1823	96.1614	31.6691	17.434	83.2671	59.1248	58.8172	36.4852	65.9134	88.8392	49.0	53.6327	23.6009	29.5433	81.4169	51.1479	83.8501	71.8656	78.4316	95.5521	58.5523	57.3479	68.0026	89.4542	43.5714	50.2045	0.0	71.4551	0.0	0.0	0.0	0.0	0.0	80.1803	104.5394	93.3671	95.1526	103.4288	103.3463
sub-0036	26.691	36.5114	83.3901	55.9647	82.2491	68.6839	73.8429	91.7803	33.394	19.3627	83.3099	60.1713	57.3756	36.2815	63.2123	88.8667	52.1818	49.0054	26.6492	34.355	81.2867	52.1547	82.0418	68.578	74.7015	92.938	57.5889	58.0015	64.8189	86.2859	51.875	49.3216	0.0	66.6568	0.0	0.0	0.0	0.0	0.0	66.6716	101.0882	98.5722	96.4738	101.3225	101.7131
sub-0037	29.9216	31.8785	84.0507	55.9237	81.9386	72.0904	75.7277	94.6669	35.5514	22.6265	81.4254	57.5213	57.0619	37.5315	65.4978	85.262	39.1667	53.9922	28.0436	31.4173	84.0669	54.19	82.2322	72.2752	75.662	94.4196	57.391	58.6033	66.1186	84.8439	40.0	49.8248	0.0	67.1201	0.0	0.0	0.0	0.0	0.0	66.6239	102.5143	94.458	92.8698	99.2432	106.153
sub-0038	27.8093	38.3408	84.5774	57.7842	82.0444	70.7114	76.4284	92.1699	36.4815	26.2942	82.4165	59.9854	58.2804	38.7046	66.0518	84.7975	52.5	49.0301	29.647	40.7176	82.4281	54.5679	82.2132	71.7742	75.3508	90.9768	58.3311	58.5273	67.0351	85.2356	48.6667	49.7213	0.0	69.6226	0.0	0.0	0.0	0.0	0.0	67.3287	98.9803	93.6595	91.3289	91.174	104.1764
sub-0039	24.0513	38.625	86.0549	59.1366	85.2921	73.5071	79.8405	96.6674	36.3333	21.6796	84.977	61.2503	58.0417	40.8084	68.9235	88.8021	0.0	46.2505	27.0847	35.2772	85.2268	56.1351	85.7604	73.5856	80.2537	95.6522	60.3796	59.9078	69.8661	88.7091	53.2	49.4221	0.0	68.5938	0.0	0.0	0.0	0.0	0.0	80.2443	101.0846	96.442	94.0059	95.1837	108.1841
sub-0040	19.4277	34.6414	84.1931	56.5993	82.0212	67.3919	75.0819	93.5743	22.7004	20.8125	81.9386	58.5266	56.9105	29.9831	63.4585	86.6608	41.3766	46.0216	17.9975	36.687	84.5318	55.5286	81.1744	66.5335	74.028	91.9695	56.8736	55.2021	64.4021	85.727	50.75	46.9213	0.0	64.313	0.0	0.0	0.0	0.0	0.0	71.433	99.8324	89.6199	96.2164	97.629	100.7314
sub-0041	29.9662	39.8239	86.0185	57.3933	83.4325	71.9292	77.0383	92.8586	30.4127	20.8289	84.4495	57.5557	59.0723	37.0083	67.7933	86.9956	53.6	51.7089	24.5204	36.2925	85.1955	54.8179	80.3129	71.4155	75.4986	90.2124	56.9271	57.0194	67.5202	87.1715	50.8	48.5887	0.0	64.4668	0.0	0.0	0.0	0.0	0.0	74.6408	101.4254	91.4369	95.3927	100.9442	106.0115
sub-0042	24.682	43.2471	85.1135	57.3778	84.3522	70.6575	77.2648	94.7555	31.7593	22.6301	83.0147	60.3549	56.2093	38.1991	65.5104	87.9128	51.8333	51.3472	25.8866	34.7553	85.9345	56.3416	82.4675	70.7163	77.4894	94.296	59.6239	57.6529	68.029	87.1189	51.4286	49.95	0.0	64.1519	0.0	0.0	0.0	0.0	0.0	70.2986	99.2529	94.2533	95.3164	93.1627	103.7992
sub-0043	28.1417	38.451	85.8292	56.1371	79.8769	70.8998	76.634	94.6544	35.5036	20.8401	82.7883	59.5999	57.8568	39.6993	63.7377	87.6703	53.6923	53.2811	25.5686	39.141	85.8551	54.4992	81.9524	70.3591	76.1144	92.6375	57.8972	56.8833	65.2683	87.8126	54.1111	51.5839	0.0	61.4644	0.0	0.0	0.0	0.0	0.0	73.4577	97.0034	92.039	96.5064	94.6658	105.5226
sub-0044	29.5773	42.7814	85.5107	56.8858	82.0114	67.42	73.6376	88.826	37.6725	21.4358	81.1759	59.2744	54.9694	41.9009	61.439	84.3667	54.75	51.6907	27.6686	30.7801	83.5519	54.222	78.1213	68.3762	72.4548	89.1361	55.9276	54.4828	63.6129	82.5403	50.6	52.9159	0.0	67.9832	0.0	0.0	0.0	0.0	0.0	74.619	99.8102	92.9924	92.9606	96.879	104.7896
sub-0045	22.5949	37.2686	85.2801	56.8668	81.0484	66.6698	73.0551	91.8667	31.3147	19.4377	82.8876	58.0731	57.8751	31.8595	60.8206	86.8377	39.8	53.068	20.341	33.6151	84.4467	54.6806	80.1069	66.2333	72.2741	90.8776	56.8689	57.5002	63.8776	86.5698	53.1818	52.3786	0.0	67.1721	0.0	0.0	0.0	0.0	0.0	70.4878	96.5392	90.7263	96.4286	99.4275	101.6857
sub-0046	25.6919	40.4886	86.3463	56.7116	83.1427	70.6284	75.4374	93.4373	35.6528	23.1682	82.6229	59.8582	58.99	38.0013	65.1388	87.4245	54.5882	50.3097	25.3721	34.3004	84.2583	53.4431	82.0361	70.0744	74.3493	92.3901	57.616	56.3335	65.2382	86.7611	43.8158	48.353	0.0	67.126	0.0	0.0	0.0	0.0	0.0	70.2422	105.2077	91.631	98.45	99.8791	107.4865
sub-0047	24.3745	36.5189	85.9228	55.9673	84.3644	67.9942	74.0097	93.6937	27.8536	22.4425	83.1619	60.2117	57.6017	32.5223	65.511	88.5322	49.9643	52.8586	24.1996	30.1156	83.4088	53.0509	82.3594	67.7513	74.1995	93.8581	58.2056	56.8101	66.1942	88.0522	45.4828	48.6493	0.0	68.0842	0.0	0.0	0.0	0.0	0.0	69.8934	102.0538	91.2611	93.5413	93.9819	104.5256
sub-0048	17.7981	33.0721	83.6144	55.1175	80.7238	69.5181	76.0416	94.8497	29.5092	18.9124	81.7442	56.3776	57.0191	35.5488	63.6948	86.9832	45.8235	46.4699	24.2644	23.819	83.0115	53.6125	81.5244	69.8692	74.3707	93.015	56.0488	55.6403	65.2576	87.0335	46.5	51.6483	0.0	65.1807	0.0	0.0	0.0	0.0	0.0	73.3942	101.2045	94.1225	95.7309	98.165	102.5986
sub-0049	18.8277	33.1996	84.1515	56.6325	81.8759	71.7279	79.216	94.895	31.2163	20.9417	83.0002	58.8521	57.5429	38.6965	65.2072	89.1029	54.0	47.0609	19.0521	28.3914	85.1654	56.0729	81.7467	71.5075	77.9955	93.7781	58.6043	57.4394	66.8024	88.5314	49.7	46.5941	0.0	63.4582	0.0	0.0	0.0	0.0	0.0	73.45	100.5404	88.6106	97.873	100.6911	102.352
sub-0050	23.2359	32.0733	85.5233	57.3298	85.8264	73.8408	79.0718	95.424	40.9661	26.8815	82.5052	61.7406	59.0587	42.7939	67.8303	88.9753	54.7692	52.049	22.2141	32.872	86.268	56.3687	85.167	72.839	78.4947	95.3475	60.4249	57.516	68.6835	88.6229	46.0811	51.1358	0.0	67.8833	0.0	0.0	0.0	0.0	0.0	72.0364	102.4707	90.8757	94.7852	100.5444	104.4936
sub-0051	27.8206	45.4296	83.4425	53.4296	85.3549	73.3477	80.267	96.113	32.6716	18.9959	82.4055	60.7553	58.2386	38.0606	67.8849	89.1338	53.275	51.7258	24.406	31.9189	84.2552	52.6159	83.3477	72.3004	77.9719	94.6617	57.5054	55.6368	67.2833	88.4599	53.6364	51.9286	0.0	66.4657	0.0	0.0	0.0	0.0	0.0	68.6111	102.8201	96.8805	95.373	92.2862	105.6221
sub-0052	28.581	40.8269	86.3153	52.8141	83.6648	69.887	74.0035	93.1558	34.0639	20.4329	83.7531	60.1285	56.3657	35.7586	62.5925	88.3857	50.1936	54.6271	25.2359	38.2825	85.5727	51.4213	81.4028	68.0182	73.3674	92.1226	59.1235	56.9956	62.5466	87.5874	57.1429	50.3704	0.0	61.8131	0.0	0.0	0.0	0.0	0.0	70.1928	99.4404	92.5836	91.2684	92.0505	103.2885
sub-0053	23.3063	39.1618	85.1723	56.1401	79.1154	67.6813	73.3939	91.7832	29.9245	22.7165	81.6137	58.8889	54.6697	32.6572	61.5483	84.7328	52.7105	47.7368	19.8609	33.6667	85.479	55.3564	78.1554	66.56	72.1377	91.8357	57.1082	55.7024	63.2078	82.2847	49.6364	46.9631	0.0	68.1472	0.0	0.0	0.0	0.0	0.0	64.789	103.2677	88.05	90.2146	92.6886	101.5918
sub-0054	17.7578	28.456	90.8546	58.9464	80.2628	66.1694	74.7505	93.2099	21.8667	16.3788	83.4301	56.7581	58.153	28.2791	60.464	88.2335	51.2593	46.1629	18.6428	31.8505	88.702	56.0303	78.1016	66.024	72.478	91.3952	55.0028	56.3941	62.8817	87.097	49.5263	47.7338	0.0	64.0772	0.0	0.0	0.0	0.0	0.0	67.6429	99.9585	91.2144	93.0737	97.1529	100.8855
sub-0055	15.4	28.4685	85.2648	55.7936	84.4442	67.074	76.6104	96.4413	24.3355	17.7286	82.5654	56.7786	58.6148	35.441	62.105	88.5832	48.9286	44.1948	16.0362	27.6041	84.1115	53.6259	81.5529	66.2603	73.5196	93.1986	56.3955	57.0164	63.0012	88.0491	46.6429	43.6003	0.0	66.3903	0.0	0.0	0.0	0.0	0.0	67.8211	94.5918	88.9757	93.9189	97.2459	99.3621
sub-0056	21.5741	36.3831	85.0009	55.647	81.535	70.3897	74.4291	93.3665	27.7068	21.3188	82.1955	56.5495	52.3302	31.1443	64.1162	87.9609	41.0196	46.5233	20.897	25.7691	83.7443	53.3114	80.9276	69.1152	74.5287	92.915	54.4955	52.7827	64.6033	87.4125	39.1176	47.8	0.0	66.5883	0.0	0.0	0.0	0.0	0.0	66.125	102.4265	89.448	95.6725	97.6562	102.3146
sub-0057	24.8662	35.1034	84.0514	54.1969	84.3423	71.4756	77.8451	96.6103	28.7945	19.0802	82.3028	58.6946	54.302	37.2504	67.1607	86.9923	53.4	51.9779	22.6731	30.0453	84.1377	52.0125	83.4744	70.541	75.7158	95.0233	56.4822	54.5387	67.0968	86.6836	49.7333	53.1753	0.0	63.1323	0.0	0.0	0.0	0.0	0.0	75.5882	103.4339	99.8342	96.7113	102.3393	104.8172
sub-0058	26.3417	36.4289	86.5102	55.9666	81.382	69.2639	75.3228	92.7625	29.7098	21.4432	83.3292	59.1508	58.134	38.1819	64.2087	87.3246	55.875	48.9205	23.7561	32.7282	86.9642	54.9018	81.1308	70.4864	75.5622	93.2334	56.7382	57.4125	67.1547	87.465	48.127	44.6752	0.0	65.5967	0.0	0.0	0.0	0.0	0.0	71.0993	100.2358	89.2032	96.2275	95.9776	99.2554
sub-0059	31.5374	40.0311	83.6906	56.5005	84.0015	70.8919	76.4495	93.6834	38.7651	23.1249	81.7274	56.9685	57.2929	38.646	67.4286	87.9151	49.8611	55.294	28.7848	35.8842	83.4306	56.0246	83.1279	69.357	75.6186	93.2086	57.9177	57.4735	66.3457	86.4971	45.8378	51.3082	0.0	67.4265	0.0	0.0	0.0	0.0	0.0	68.4404	102.0408	96.652	92.3468	94.7535	108.3286
