lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0028	953.0	1325.0	1036.0	1115.0	497.0	1937.0	870.0	960.0	515.0	300.0	1661.0	1198.0	251.0	1061.0	3205.0	5108.0	500.0	579.0	1712.0	1079.0	1660.0	2470.0	1372.0	1686.0	1737.0	2010.0	1814.0	1396.0	1511.0	2074.0	822.0	664.0	455.0	1559.0	598.0	758.0	1664.0	1800.0	262.0	456.0	960.0	1597.0	1349.0	2188.0	2105.0	970.0	387.0	987.0	1474.0	947.0	317.0	1686.0	972.0	2147.0	175.0	2404.0	815.0	1040.0	557.0	738.0	1708.0	285.0	630.0	1121.0	1585.0	841.0	2018.0	1021.0	1000.0	545.0	1054.0	848.0	4830.0	380.0	94311.5	1285061.0	1768709.871258
sub-0029	962.0	1177.0	1003.0	841.0	629.0	1612.0	867.0	718.0	371.0	210.0	1315.0	908.0	258.0	783.0	3014.0	5086.0	460.0	501.0	1402.0	659.0	1083.0	2064.0	789.0	1735.0	1923.0	1568.0	1785.0	1516.0	1479.0	1621.0	681.0	300.0	296.0	1698.0	462.0	587.0	1582.0	1735.0	232.0	330.0	588.0	1429.0	1085.0	1650.0	2035.0	755.0	297.0	1019.0	1016.0	630.0	327.0	1444.0	985.0	2311.0	281.0	1885.0	921.0	578.0	471.0	614.0	1452.0	202.0	473.0	1127.0	1462.0	612.0	2025.0	1060.0	748.0	426.0	843.0	1224.0	3811.0	235.0	82264.0	1121926.0	1307248.794911
sub-0030	1012.0	1323.0	1112.0	1324.0	678.0	1999.0	1313.0	1149.0	574.0	200.0	1472.0	1116.0	324.0	766.0	3301.0	4686.0	545.0	614.0	1970.0	1104.0	1345.0	2240.0	1112.0	1780.0	2266.0	2751.0	2090.0	1605.0	1556.0	2182.0	702.0	188.0	273.0	1445.0	558.0	751.0	2388.0	2444.0	198.0	129.0	734.0	1579.0	1396.0	1504.0	1792.0	772.0	406.0	994.0	1225.0	869.0	441.0	1802.0	1487.0	1963.0	633.0	2400.0	1224.0	1178.0	770.0	870.0	1676.0	419.0	481.0	1089.0	1699.0	1213.0	2736.0	1067.0	809.0	794.0	987.0	1744.0	5309.0	261.0	98907.2	1360253.0	1634121.287963
sub-0031	916.0	1220.0	1125.0	1148.0	567.0	1567.0	840.0	885.0	381.0	194.0	1624.0	864.0	225.0	497.0	2697.0	4504.0	420.0	460.0	1490.0	1028.0	1318.0	1939.0	688.0	1535.0	1376.0	1996.0	1690.0	1289.0	1634.0	1753.0	579.0	372.0	402.0	1344.0	476.0	840.0	1521.0	1784.0	235.0	237.0	1006.0	1590.0	1362.0	1707.0	1921.0	729.0	321.0	883.0	1110.0	495.0	405.0	1361.0	839.0	2125.0	90.0	1867.0	520.0	1055.0	591.0	440.0	1304.0	238.0	431.0	1131.0	1406.0	876.0	1772.0	1340.0	1007.0	448.0	617.0	1108.0	3826.0	461.0	82040.9	1066825.0	1329892.526925
sub-0032	942.0	1476.0	1085.0	1348.0	570.0	1630.0	938.0	969.0	478.0	221.0	1711.0	957.0	321.0	644.0	3634.0	5151.0	577.0	518.0	1835.0	1131.0	1118.0	2426.0	1285.0	1684.0	2037.0	2203.0	2010.0	1638.0	1733.0	2057.0	674.0	345.0	352.0	1454.0	475.0	821.0	1981.0	1769.0	216.0	134.0	833.0	1284.0	1166.0	2069.0	2186.0	830.0	400.0	958.0	1204.0	1099.0	423.0	1481.0	1238.0	1963.0	359.0	2383.0	730.0	1049.0	411.0	795.0	1452.0	278.0	413.0	1108.0	1667.0	870.0	2455.0	1275.0	868.0	692.0	954.0	1154.0	3821.0	334.0	92747.8	1264512.0	1489493.778253
sub-0033	788.0	1357.0	1003.0	953.0	617.0	1629.0	722.0	893.0	333.0	217.0	1286.0	891.0	390.0	841.0	3073.0	5435.0	467.0	546.0	1479.0	903.0	1390.0	1928.0	1067.0	1782.0	2227.0	2139.0	2199.0	1738.0	1824.0	1798.0	612.0	369.0	486.0	1429.0	434.0	655.0	1615.0	1607.0	210.0	272.0	951.0	1437.0	1070.0	1781.0	2301.0	713.0	469.0	1059.0	1186.0	937.0	341.0	1836.0	1070.0	2028.0	386.0	2120.0	824.0	770.0	553.0	634.0	1564.0	288.0	540.0	1090.0	1302.0	598.0	2142.0	1248.0	871.0	792.0	557.0	1006.0	4425.0	324.0	88819.1	1234151.0	1390204.431298
sub-0034	885.0	1224.0	977.0	903.0	569.0	1596.0	807.0	932.0	418.0	190.0	1392.0	964.0	236.0	721.0	2873.0	5005.0	392.0	454.0	1432.0	896.0	1277.0	2401.0	954.0	1810.0	1859.0	1696.0	2104.0	1361.0	1406.0	1994.0	591.0	536.0	353.0	1434.0	477.0	614.0	1748.0	1720.0	206.0	175.0	715.0	1330.0	1195.0	1588.0	1853.0	684.0	336.0	1048.0	996.0	544.0	407.0	1552.0	1063.0	2056.0	286.0	2487.0	675.0	903.0	602.0	746.0	1686.0	241.0	468.0	1018.0	1542.0	771.0	1889.0	1067.0	906.0	580.0	709.0	1170.0	4540.0	327.0	85561.3	1192164.0	1548854.973346
sub-0035	919.0	1396.0	1015.0	1508.0	565.0	1668.0	968.0	1180.0	511.0	265.0	1448.0	1359.0	309.0	1081.0	3541.0	5464.0	531.0	617.0	2231.0	1147.0	1302.0	2367.0	810.0	1894.0	1724.0	2303.0	1653.0	1919.0	1609.0	1840.0	746.0	249.0	468.0	1503.0	602.0	626.0	1977.0	2102.0	276.0	260.0	911.0	1501.0	1122.0	1511.0	2078.0	720.0	455.0	990.0	1206.0	619.0	435.0	1961.0	955.0	2002.0	165.0	1710.0	1170.0	876.0	854.0	666.0	1508.0	261.0	511.0	1147.0	1870.0	782.0	2491.0	1455.0	766.0	623.0	805.0	1384.0	4687.0	234.0	94387.7	1178058.0	1285548.492311
sub-0036	982.0	1226.0	1141.0	1040.0	546.0	1678.0	872.0	978.0	373.0	182.0	1522.0	1075.0	253.0	552.0	3180.0	5627.0	556.0	499.0	1562.0	937.0	1287.0	1854.0	1088.0	1890.0	1966.0	2152.0	2749.0	1367.0	1434.0	2217.0	629.0	478.0	339.0	1456.0	580.0	947.0	2018.0	1792.0	189.0	229.0	825.0	1467.0	1336.0	1594.0	1905.0	833.0	372.0	918.0	1190.0	830.0	449.0	1368.0	1193.0	2605.0	300.0	2445.0	611.0	888.0	519.0	486.0	1748.0	370.0	474.0	1132.0	1825.0	793.0	2346.0	1107.0	815.0	424.0	830.0	1405.0	4406.0	297.0	91546.1	1206564.0	1325186.698783
sub-0037	643.0	1087.0	977.0	978.0	506.0	1394.0	760.0	807.0	438.0	184.0	1375.0	853.0	252.0	950.0	2659.0	5004.0	460.0	415.0	1416.0	823.0	1093.0	1920.0	931.0	1519.0	1644.0	1908.0	2292.0	1583.0	1882.0	2007.0	695.0	337.0	447.0	1431.0	364.0	754.0	1377.0	1469.0	217.0	215.0	710.0	1273.0	1266.0	1545.0	2208.0	618.0	389.0	1014.0	1131.0	641.0	355.0	1366.0	774.0	1618.0	100.0	2188.0	684.0	748.0	346.0	572.0	1288.0	268.0	475.0	972.0	1550.0	669.0	2007.0	968.0	1242.0	408.0	849.0	1014.0	3249.0	332.0	80902.5	1040608.0	1039161.90809
sub-0038	920.0	1623.0	1062.0	1061.0	599.0	1643.0	907.0	947.0	537.0	217.0	1629.0	1006.0	311.0	1224.0	2705.0	4476.0	552.0	524.0	1851.0	1028.0	1833.0	2123.0	1155.0	1922.0	1502.0	2130.0	1959.0	1677.0	1766.0	2088.0	703.0	356.0	404.0	1456.0	668.0	639.0	2044.0	1925.0	287.0	251.0	842.0	1590.0	1247.0	2254.0	2100.0	800.0	465.0	1002.0	1402.0	805.0	468.0	1669.0	1025.0	1649.0	164.0	2085.0	1070.0	985.0	469.0	649.0	1585.0	314.0	492.0	1005.0	1704.0	1069.0	2823.0	1114.0	889.0	441.0	879.0	1265.0	4171.0	372.0	92571.7	1176616.0	1370328.370742
sub-0039	812.0	945.0	1070.0	951.0	453.0	1423.0	904.0	975.0	414.0	182.0	1185.0	1160.0	352.0	946.0	2915.0	4687.0	581.0	453.0	1789.0	996.0	1188.0	1693.0	1008.0	1797.0	1961.0	1746.0	2211.0	1395.0	1384.0	1938.0	720.0	328.0	385.0	1396.0	451.0	775.0	1749.0	1686.0	254.0	220.0	778.0	1305.0	1054.0	1588.0	1648.0	857.0	300.0	914.0	1202.0	587.0	323.0	1958.0	794.0	1642.0	334.0	2000.0	747.0	828.0	524.0	769.0	1491.0	290.0	436.0	982.0	1131.0	716.0	1992.0	895.0	830.0	517.0	1033.0	985.0	4629.0	186.0	83745.1	1126390.0	1282072.917977
sub-0040	1030.0	1617.0	1174.0	1240.0	692.0	2221.0	1140.0	1156.0	557.0	240.0	1935.0	1150.0	385.0	1165.0	3713.0	6910.0	503.0	612.0	2111.0	1317.0	1872.0	2445.0	1103.0	1964.0	2300.0	2611.0	2272.0	1881.0	1877.0	2438.0	808.0	826.0	435.0	1851.0	732.0	872.0	1949.0	1797.0	314.0	322.0	849.0	1904.0	1449.0	2408.0	2395.0	819.0	495.0	1001.0	1371.0	937.0	400.0	2152.0	1418.0	2712.0	243.0	2030.0	1183.0	1302.0	518.0	743.0	1865.0	303.0	510.0	1172.0	2160.0	940.0	2593.0	1274.0	901.0	634.0	892.0	1215.0	5005.0	500.0	107837.0	1365708.0	1776357.318161
sub-0041	1040.0	1045.0	1025.0	1106.0	555.0	1647.0	798.0	959.0	419.0	180.0	1361.0	1453.0	283.0	689.0	2961.0	5138.0	538.0	510.0	1257.0	1173.0	973.0	1965.0	696.0	1687.0	2270.0	1966.0	1849.0	1316.0	1496.0	1654.0	754.0	501.0	312.0	1505.0	644.0	793.0	1834.0	2019.0	238.0	256.0	759.0	1420.0	1219.0	1648.0	1830.0	704.0	376.0	901.0	1220.0	588.0	355.0	1397.0	1082.0	2148.0	285.0	2004.0	626.0	1072.0	463.0	561.0	1506.0	267.0	511.0	1045.0	1362.0	976.0	1984.0	1119.0	818.0	463.0	727.0	1466.0	4936.0	272.0	86977.6	1123563.0	1211554.573673
sub-0042	864.0	1122.0	1078.0	1150.0	586.0	1793.0	840.0	896.0	406.0	205.0	1468.0	862.0	346.0	917.0	3695.0	5490.0	569.0	698.0	1937.0	911.0	1643.0	1813.0	1079.0	1741.0	1777.0	2111.0	1782.0	1363.0	1677.0	2085.0	822.0	513.0	287.0	1428.0	664.0	699.0	1855.0	1965.0	256.0	252.0	808.0	1468.0	1183.0	1408.0	2124.0	785.0	346.0	1011.0	1324.0	761.0	429.0	1942.0	1318.0	2017.0	271.0	2160.0	1016.0	836.0	613.0	831.0	1532.0	302.0	626.0	1045.0	1287.0	851.0	2163.0	1330.0	811.0	425.0	829.0	1371.0	5160.0	257.0	92286.4	1260747.0	1595125.765693
sub-0043	993.0	1456.0	1011.0	1157.0	558.0	1638.0	891.0	888.0	556.0	305.0	1393.0	892.0	249.0	878.0	3128.0	5312.0	497.0	483.0	1512.0	1046.0	1211.0	2371.0	1317.0	1763.0	1464.0	2091.0	1927.0	1467.0	1874.0	1852.0	719.0	366.0	290.0	1483.0	495.0	992.0	2003.0	1774.0	217.0	252.0	850.0	1321.0	1459.0	1907.0	2401.0	813.0	394.0	1005.0	1146.0	968.0	459.0	1739.0	1287.0	2118.0	334.0	2029.0	1024.0	783.0	574.0	755.0	1447.0	432.0	501.0	1051.0	1530.0	730.0	1953.0	1034.0	1264.0	596.0	924.0	1308.0	3569.0	292.0	90771.4	1207592.0	1573892.518748
sub-0044	1132.0	849.0	1112.0	1092.0	520.0	1568.0	941.0	939.0	467.0	200.0	1445.0	977.0	390.0	844.0	3163.0	5212.0	493.0	559.0	1563.0	1063.0	1170.0	2189.0	1064.0	1980.0	1724.0	2069.0	1945.0	1482.0	1732.0	1983.0	846.0	232.0	301.0	1546.0	496.0	695.0	1794.0	1667.0	225.0	255.0	751.0	1393.0	1155.0	1646.0	2009.0	845.0	380.0	914.0	1210.0	655.0	331.0	1397.0	831.0	1771.0	262.0	2366.0	686.0	930.0	518.0	812.0	1368.0	441.0	489.0	1160.0	1598.0	950.0	1946.0	1179.0	823.0	655.0	798.0	1463.0	4839.0	262.0	88756.2	1263702.0	1447858.351082
sub-0045	1144.0	1393.0	1222.0	1151.0	578.0	1964.0	983.0	1292.0	556.0	279.0	1893.0	1092.0	351.0	1054.0	4156.0	6412.0	650.0	586.0	1876.0	1252.0	1828.0	2475.0	785.0	2044.0	2376.0	2132.0	2679.0	1875.0	1783.0	2107.0	806.0	552.0	288.0	1676.0	519.0	787.0	2143.0	2195.0	278.0	339.0	875.0	1446.0	1051.0	2655.0	2284.0	1035.0	464.0	1203.0	1520.0	750.0	388.0	2265.0	1163.0	2721.0	295.0	2779.0	638.0	951.0	539.0	874.0	1966.0	405.0	655.0	1214.0	1968.0	1082.0	2391.0	1340.0	852.0	535.0	929.0	1335.0	5481.0	444.0	106047.0	1384451.0	1641357.40128
sub-0046	963.0	1317.0	1001.0	1264.0	615.0	1635.0	1070.0	1154.0	411.0	182.0	1277.0	977.0	303.0	607.0	3572.0	5935.0	493.0	544.0	2028.0	862.0	1297.0	2308.0	984.0	1875.0	2249.0	2228.0	2099.0	1648.0	1677.0	2014.0	683.0	445.0	281.0	1418.0	450.0	875.0	1960.0	1802.0	226.0	231.0	801.0	1558.0	1116.0	1650.0	2151.0	754.0	419.0	1035.0	1058.0	838.0	424.0	1509.0	912.0	2495.0	170.0	2117.0	930.0	1007.0	617.0	757.0	1332.0	194.0	517.0	1224.0	1321.0	860.0	2325.0	1270.0	743.0	626.0	807.0	1245.0	4256.0	240.0	92235.9	1196331.0	1302253.120518
sub-0047	906.0	1277.0	946.0	1126.0	452.0	2017.0	954.0	1062.0	572.0	231.0	1588.0	1253.0	349.0	744.0	3078.0	5489.0	417.0	470.0	2033.0	1096.0	1993.0	1965.0	928.0	1740.0	1658.0	2230.0	1911.0	1438.0	1529.0	1851.0	645.0	453.0	370.0	1406.0	552.0	676.0	1839.0	2166.0	245.0	309.0	815.0	1433.0	1041.0	2076.0	2030.0	779.0	358.0	981.0	1323.0	765.0	367.0	1567.0	946.0	2015.0	156.0	2139.0	1045.0	929.0	625.0	695.0	1561.0	227.0	444.0	1069.0	1427.0	1081.0	2613.0	1209.0	999.0	596.0	1128.0	1484.0	4383.0	362.0	92626.4	1131089.0	1352635.107834
sub-0048	743.0	1043.0	964.0	879.0	487.0	1405.0	710.0	912.0	394.0	159.0	1298.0	854.0	253.0	728.0	2751.0	4627.0	433.0	455.0	1678.0	782.0	1203.0	1900.0	1064.0	1576.0	1456.0	1977.0	1884.0	1271.0	1307.0	1739.0	586.0	498.0	326.0	1427.0	377.0	801.0	1437.0	1721.0	192.0	322.0	834.0	1445.0	995.0	1293.0	1856.0	806.0	276.0	976.0	1221.0	664.0	327.0	1522.0	1008.0	1828.0	164.0	2233.0	739.0	857.0	621.0	541.0	1296.0	236.0	451.0	1038.0	1478.0	953.0	1837.0	946.0	696.0	413.0	693.0	1157.0	3916.0	272.0	80201.9	1065029.0	1275646.579865
sub-0049	810.0	1097.0	931.0	868.0	480.0	1527.0	879.0	915.0	397.0	190.0	1192.0	978.0	296.0	894.0	2629.0	5126.0	450.0	489.0	1507.0	955.0	1342.0	1611.0	979.0	1715.0	1817.0	1727.0	1996.0	1436.0	1535.0	1817.0	665.0	535.0	311.0	1268.0	452.0	627.0	1782.0	1988.0	244.0	162.0	738.0	1416.0	1218.0	1443.0	1937.0	654.0	328.0	910.0	1148.0	792.0	244.0	1771.0	694.0	2239.0	227.0	2054.0	882.0	878.0	719.0	766.0	1449.0	206.0	483.0	1090.0	1219.0	611.0	1630.0	1137.0	1096.0	503.0	595.0	1244.0	4088.0	269.0	83301.4	1063425.0	1241971.165177
sub-0050	844.0	967.0	945.0	840.0	577.0	1490.0	682.0	895.0	306.0	128.0	1181.0	732.0	274.0	654.0	2842.0	4478.0	477.0	439.0	1174.0	812.0	930.0	1854.0	717.0	1544.0	1698.0	1957.0	1771.0	1082.0	1503.0	1615.0	554.0	263.0	308.0	1231.0	547.0	606.0	1580.0	1647.0	219.0	221.0	720.0	1117.0	1037.0	1488.0	1947.0	814.0	322.0	914.0	1107.0	579.0	326.0	1219.0	738.0	1915.0	133.0	2297.0	617.0	799.0	650.0	682.0	1192.0	218.0	483.0	1007.0	1244.0	591.0	1650.0	1198.0	895.0	491.0	680.0	1027.0	3439.0	216.0	76341.0	1004192.0	1167348.605998
sub-0051	826.0	1216.0	1111.0	1131.0	636.0	1675.0	1059.0	1072.0	446.0	195.0	1343.0	913.0	276.0	758.0	3293.0	4698.0	386.0	463.0	1590.0	967.0	1740.0	2206.0	831.0	1758.0	2044.0	1862.0	2475.0	1373.0	1610.0	2149.0	782.0	114.0	317.0	1491.0	557.0	764.0	2111.0	1861.0	185.0	234.0	726.0	1420.0	1116.0	1578.0	2014.0	775.0	299.0	929.0	1158.0	696.0	443.0	1653.0	1126.0	2523.0	213.0	2455.0	837.0	1060.0	404.0	717.0	1414.0	313.0	516.0	1096.0	1655.0	888.0	2233.0	1016.0	918.0	481.0	832.0	1107.0	4227.0	379.0	89739.2	1129476.0	1367177.983431
sub-0052	1095.0	1308.0	1242.0	1279.0	621.0	1773.0	1046.0	1174.0	587.0	205.0	1830.0	924.0	316.0	960.0	3666.0	6671.0	485.0	589.0	1813.0	1293.0	1652.0	2651.0	778.0	2053.0	2314.0	3102.0	2506.0	1778.0	1870.0	2536.0	850.0	635.0	502.0	1434.0	542.0	954.0	2473.0	2195.0	218.0	287.0	1074.0	1834.0	1333.0	2301.0	2610.0	862.0	413.0	1189.0	1419.0	799.0	541.0	1816.0	1312.0	2492.0	302.0	2520.0	898.0	1174.0	399.0	840.0	1875.0	427.0	600.0	1325.0	1964.0	1109.0	2653.0	1493.0	980.0	560.0	853.0	1580.0	4418.0	269.0	106441.0	1393928.0	1612813.686328
sub-0053	892.0	1096.0	991.0	1144.0	473.0	1487.0	740.0	803.0	407.0	219.0	1431.0	896.0	328.0	707.0	2821.0	4592.0	427.0	442.0	1418.0	1030.0	1215.0	2210.0	841.0	1632.0	1551.0	1783.0	1809.0	1586.0	1720.0	1912.0	691.0	515.0	230.0	1476.0	503.0	795.0	1920.0	2106.0	241.0	169.0	875.0	1324.0	1139.0	1688.0	2190.0	681.0	360.0	957.0	1108.0	567.0	366.0	1442.0	794.0	1929.0	278.0	2326.0	904.0	947.0	556.0	779.0	1557.0	285.0	463.0	1028.0	1521.0	757.0	2018.0	1261.0	906.0	519.0	750.0	1378.0	4687.0	215.0	85804.5	1085378.0	1448329.281742
sub-0054	710.0	916.0	851.0	1008.0	468.0	1287.0	745.0	798.0	441.0	209.0	1180.0	905.0	203.0	915.0	2504.0	4684.0	445.0	491.0	1121.0	926.0	970.0	1472.0	807.0	1475.0	1438.0	1979.0	2079.0	1279.0	1319.0	1784.0	694.0	514.0	283.0	1323.0	411.0	594.0	1455.0	1734.0	178.0	221.0	720.0	1064.0	998.0	1377.0	1801.0	702.0	333.0	1076.0	1132.0	525.0	422.0	1342.0	823.0	1772.0	233.0	1807.0	638.0	931.0	469.0	683.0	1428.0	258.0	516.0	765.0	1247.0	853.0	1949.0	1045.0	831.0	444.0	889.0	1080.0	3933.0	305.0	77206.5	1051119.0	1474969.459443
sub-0055	1004.0	1372.0	849.0	1204.0	550.0	1889.0	760.0	952.0	447.0	186.0	1543.0	929.0	308.0	849.0	3013.0	5104.0	562.0	660.0	1756.0	1177.0	1524.0	2135.0	1090.0	1906.0	2294.0	1750.0	2458.0	1788.0	1716.0	2148.0	673.0	708.0	261.0	1394.0	558.0	650.0	2266.0	2201.0	217.0	267.0	667.0	1530.0	1206.0	1605.0	2371.0	699.0	458.0	1071.0	1197.0	1017.0	314.0	1498.0	997.0	2282.0	257.0	2382.0	852.0	1240.0	628.0	927.0	1635.0	311.0	514.0	1084.0	1417.0	969.0	2342.0	1005.0	931.0	478.0	835.0	1324.0	4379.0	206.0	93740.5	1281831.0	1559112.265607
sub-0056	957.0	1136.0	1025.0	1141.0	660.0	1565.0	996.0	1036.0	447.0	191.0	1645.0	960.0	349.0	687.0	3086.0	4663.0	579.0	498.0	1751.0	936.0	1032.0	2214.0	1191.0	1990.0	1784.0	2120.0	2658.0	1717.0	1562.0	2096.0	740.0	386.0	387.0	1424.0	579.0	632.0	2343.0	1646.0	277.0	249.0	852.0	1523.0	1433.0	2185.0	2048.0	772.0	408.0	974.0	1133.0	1041.0	342.0	1310.0	1027.0	1948.0	308.0	2415.0	922.0	739.0	430.0	638.0	1366.0	269.0	598.0	1202.0	1619.0	829.0	2531.0	1354.0	646.0	676.0	707.0	1405.0	5024.0	331.0	92339.3	1128463.0	1159536.339825
sub-0057	729.0	993.0	861.0	758.0	379.0	1435.0	757.0	762.0	361.0	176.0	1029.0	644.0	204.0	637.0	2407.0	3525.0	370.0	335.0	1237.0	808.0	1568.0	1750.0	799.0	1160.0	1726.0	1631.0	1504.0	1274.0	1220.0	1563.0	526.0	270.0	218.0	1094.0	358.0	560.0	1303.0	1244.0	120.0	172.0	647.0	1126.0	956.0	1156.0	1857.0	679.0	241.0	829.0	972.0	670.0	379.0	1113.0	694.0	1409.0	332.0	1925.0	467.0	976.0	407.0	668.0	1340.0	208.0	316.0	655.0	1302.0	674.0	1770.0	857.0	668.0	401.0	664.0	1041.0	3849.0	226.0	69937.0	920873.0	1012605.008482
sub-0058	1116.0	1301.0	1137.0	1089.0	796.0	1798.0	1269.0	991.0	659.0	286.0	1504.0	1211.0	379.0	1359.0	3591.0	5855.0	555.0	578.0	1944.0	1152.0	1739.0	2454.0	1143.0	2173.0	1882.0	2095.0	2689.0	1588.0	1848.0	2625.0	778.0	803.0	464.0	1611.0	633.0	867.0	2282.0	1927.0	205.0	315.0	918.0	1703.0	1296.0	2298.0	2259.0	775.0	385.0	1057.0	1330.0	860.0	525.0	2014.0	1337.0	2427.0	260.0	2729.0	831.0	1243.0	916.0	845.0	1733.0	427.0	514.0	1302.0	1688.0	915.0	2145.0	1115.0	1303.0	647.0	969.0	1528.0	4391.0	359.0	103736.0	1324301.0	1600616.506302
sub-0059	885.0	1179.0	1192.0	1109.0	531.0	1791.0	947.0	1037.0	404.0	169.0	1563.0	1077.0	280.0	861.0	3042.0	4847.0	584.0	560.0	1603.0	988.0	1189.0	2002.0	811.0	1688.0	1527.0	2464.0	2170.0	1313.0	1534.0	2270.0	719.0	333.0	353.0	1284.0	611.0	612.0	1616.0	1692.0	218.0	154.0	797.0	1543.0	1164.0	1632.0	1815.0	710.0	259.0	914.0	1187.0	624.0	342.0	1739.0	1179.0	1811.0	104.0	2133.0	911.0	957.0	554.0	708.0	1564.0	225.0	610.0	962.0	1738.0	1014.0	2231.0	999.0	799.0	468.0	812.0	1149.0	3649.0	250.0	86764.1	1142257.0	1501855.143357
sub-0060	1031.0	962.0	904.0	1110.0	513.0	1906.0	1019.0	879.0	459.0	183.0	1481.0	882.0	328.0	490.0	2921.0	4929.0	443.0	507.0	1780.0	1046.0	1313.0	1844.0	1176.0	1976.0	1998.0	2273.0	2296.0	1488.0	1555.0	2433.0	779.0	248.0	387.0	1325.0	596.0	912.0	2062.0	2479.0	224.0	231.0	922.0	1297.0	1427.0	1632.0	1994.0	595.0	389.0	989.0	1095.0	886.0	262.0	1184.0	1191.0	2319.0	348.0	2529.0	628.0	1098.0	568.0	602.0	1520.0	347.0	466.0	1340.0	1805.0	998.0	2529.0	1182.0	795.0	766.0	965.0	1146.0	4764.0	358.0	92306.8	1205004.0	1505207.336789
sub-0061	880.0	970.0	1190.0	1090.0	707.0	1920.0	859.0	1072.0	336.0	157.0	1320.0	1177.0	294.0	930.0	3999.0	5512.0	457.0	462.0	1683.0	905.0	1216.0	2076.0	1067.0	1835.0	2142.0	1751.0	2088.0	1530.0	1464.0	1875.0	769.0	365.0	300.0	1135.0	477.0	595.0	1695.0	1753.0	292.0	323.0	671.0	1470.0	959.0	1431.0	2008.0	966.0	365.0	871.0	1171.0	787.0	375.0	1986.0	1339.0	2661.0	212.0	2747.0	797.0	1161.0	963.0	566.0	1388.0	303.0	695.0	1127.0	1426.0	763.0	2182.0	1233.0	907.0	541.0	777.0	1415.0	4121.0	242.0	91293.4	1181018.0	1369511.409073
sub-0062	829.0	728.0	1092.0	873.0	478.0	1483.0	793.0	939.0	388.0	185.0	925.0	848.0	188.0	684.0	2893.0	4373.0	583.0	572.0	1075.0	777.0	1213.0	1581.0	930.0	1531.0	1785.0	2245.0	1655.0	1493.0	1315.0	1919.0	742.0	391.0	293.0	1339.0	493.0	753.0	1752.0	1891.0	167.0	270.0	808.0	1000.0	1166.0	1125.0	1887.0	796.0	356.0	1021.0	1181.0	532.0	353.0	1304.0	718.0	1836.0	232.0	1806.0	428.0	840.0	518.0	648.0	1375.0	218.0	522.0	939.0	1448.0	866.0	2073.0	905.0	696.0	459.0	762.0	1302.0	4411.0	331.0	79326.1	1084223.0	1272209.610922
