rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0015	921.0	647.0	2054.0	1629.0	487.0	2931.0	5683.0	3400.0	879.0	5191.0	2939.0	3247.0	2192.0	3203.0	531.0	1587.0	1371.0	961.0	1556.0	1484.0	3769.0	1016.0	4693.0	3893.0	562.0	6592.0	6970.0	5364.0	3491.0	3132.0	340.0	410.0	265.0	2150.0	85532.4	1171623.0	1339820.259997
sub-0016	745.0	551.0	2174.0	1578.0	503.0	2915.0	5554.0	3470.0	958.0	5255.0	2733.0	3082.0	1970.0	3608.0	565.0	1362.0	1736.0	888.0	1714.0	1453.0	4154.0	1084.0	4331.0	4275.0	524.0	6201.0	6941.0	4884.0	3679.0	3767.0	299.0	450.0	384.0	2655.0	86430.3	1139249.0	1474210.897235
sub-0017	855.0	743.0	1766.0	1499.0	506.0	2643.0	4695.0	3168.0	787.0	4586.0	2576.0	2635.0	2009.0	3103.0	565.0	1228.0	1126.0	751.0	1250.0	1329.0	3631.0	1081.0	4659.0	3383.0	496.0	5221.0	6241.0	4338.0	3169.0	3252.0	292.0	365.0	273.0	2346.0	76552.6	1029582.0	1337595.153561
sub-0018	851.0	793.0	1878.0	1748.0	532.0	3435.0	5733.0	3453.0	760.0	5517.0	3103.0	3292.0	2106.0	3067.0	636.0	1494.0	1864.0	849.0	1854.0	1724.0	3734.0	925.0	4658.0	4418.0	684.0	5640.0	6747.0	6232.0	3578.0	4216.0	339.0	512.0	325.0	2438.0	89131.8	1134499.0	1314539.920729
sub-0019	674.0	616.0	2298.0	1480.0	532.0	3188.0	4296.0	2958.0	810.0	4987.0	2729.0	2970.0	2080.0	2854.0	586.0	1551.0	1328.0	928.0	1694.0	1358.0	3746.0	1278.0	4527.0	3914.0	492.0	6247.0	7198.0	5002.0	3532.0	3639.0	273.0	431.0	411.0	2250.0	82843.9	1113947.0	1196587.615369
sub-0020	1031.0	852.0	1947.0	1432.0	398.0	3399.0	6156.0	3486.0	793.0	4665.0	2947.0	2591.0	2104.0	3887.0	597.0	1397.0	1375.0	907.0	1496.0	1419.0	3521.0	1158.0	3963.0	4374.0	741.0	6845.0	6925.0	5406.0	3768.0	3736.0	369.0	404.0	293.0	2162.0	86545.1	1150630.0	1315502.237016
sub-0021	1073.0	1019.0	2578.0	1489.0	540.0	3759.0	7447.0	4499.0	1069.0	5686.0	3119.0	3402.0	2645.0	4637.0	870.0	1806.0	1478.0	1010.0	1759.0	1450.0	4977.0	1543.0	5520.0	4431.0	830.0	8619.0	8702.0	6599.0	4875.0	4284.0	386.0	483.0	457.0	2677.0	105708.0	1372085.0	1609779.54358
sub-0022	992.0	710.0	2139.0	1816.0	477.0	3446.0	5904.0	3933.0	833.0	5839.0	2483.0	3718.0	2101.0	4257.0	657.0	1554.0	1286.0	886.0	1539.0	1824.0	4161.0	1061.0	4384.0	3763.0	718.0	7048.0	6560.0	5452.0	3872.0	3633.0	361.0	546.0	356.0	2229.0	90534.0	1221000.0	1408518.840885
sub-0023	826.0	503.0	2439.0	1792.0	396.0	3185.0	5360.0	3125.0	920.0	4808.0	2902.0	2806.0	1858.0	3759.0	600.0	1259.0	1441.0	732.0	1505.0	1632.0	3627.0	1043.0	4429.0	3957.0	525.0	5749.0	6716.0	5468.0	3494.0	3537.0	281.0	441.0	331.0	2023.0	83466.7	1084941.0	1210037.224423
sub-0024	891.0	642.0	2863.0	1908.0	410.0	3744.0	5320.0	3716.0	968.0	7059.0	2622.0	3608.0	1926.0	3725.0	646.0	1801.0	1634.0	1057.0	1654.0	1461.0	4228.0	1336.0	5546.0	4070.0	703.0	7259.0	8403.0	6072.0	3703.0	3686.0	352.0	459.0	372.0	2457.0	96204.3	1255311.0	1703918.889579
sub-0025	1087.0	580.0	2244.0	1156.0	361.0	2805.0	5687.0	3229.0	787.0	4369.0	2556.0	2702.0	1789.0	3789.0	623.0	1644.0	1515.0	800.0	1409.0	1206.0	3707.0	1055.0	4444.0	3514.0	599.0	5455.0	7770.0	4918.0	4011.0	3537.0	293.0	377.0	281.0	2459.0	82747.4	1140770.0	1193695.388857
sub-0026	1133.0	588.0	2645.0	1755.0	437.0	3211.0	5665.0	4000.0	839.0	5482.0	2713.0	3210.0	2087.0	4038.0	686.0	1699.0	1621.0	844.0	1690.0	1688.0	4132.0	1145.0	5065.0	3950.0	618.0	6611.0	7570.0	5759.0	3703.0	3611.0	383.0	464.0	304.0	2466.0	91809.0	1228402.0	1520543.146445
sub-0027	786.0	795.0	1874.0	1486.0	274.0	2994.0	4548.0	2979.0	737.0	4945.0	2799.0	2946.0	2029.0	3452.0	629.0	1565.0	1118.0	962.0	1556.0	1552.0	3523.0	1102.0	4242.0	3872.0	665.0	7351.0	6647.0	5302.0	3554.0	3174.0	295.0	405.0	335.0	2204.0	82694.7	1091162.0	1143148.09348
sub-0028	1001.0	828.0	2341.0	1783.0	584.0	3323.0	5537.0	4243.0	1063.0	6440.0	2866.0	3855.0	2174.0	3807.0	665.0	1389.0	1345.0	995.0	1682.0	1605.0	4390.0	1407.0	4788.0	4716.0	775.0	6232.0	7248.0	5328.0	4048.0	4903.0	327.0	537.0	372.0	2888.0	95464.6	1285061.0	1768709.871258
sub-0029	688.0	785.0	2374.0	1533.0	426.0	2818.0	5570.0	3248.0	813.0	4774.0	2776.0	2995.0	1974.0	3488.0	542.0	1330.0	1379.0	694.0	1531.0	1554.0	3939.0	1300.0	4919.0	3762.0	493.0	5817.0	7551.0	5007.0	3456.0	3057.0	303.0	431.0	312.0	2256.0	83880.3	1121926.0	1307248.794911
sub-0030	1265.0	811.0	1834.0	1790.0	576.0	3232.0	7730.0	3598.0	1081.0	6103.0	2909.0	3626.0	2211.0	4604.0	686.0	1433.0	1468.0	944.0	1540.0	1514.0	4397.0	1420.0	4378.0	4704.0	777.0	7708.0	7581.0	5884.0	4141.0	4636.0	384.0	594.0	324.0	2640.0	98507.7	1360253.0	1634121.287963
sub-0031	763.0	692.0	2092.0	1666.0	412.0	2642.0	5134.0	3123.0	802.0	5785.0	2727.0	2806.0	1919.0	3420.0	563.0	1333.0	1255.0	812.0	1248.0	1503.0	3636.0	1231.0	4899.0	3403.0	624.0	5147.0	6612.0	5090.0	3383.0	3169.0	347.0	357.0	294.0	2325.0	81083.6	1066825.0	1329892.526925
sub-0032	791.0	543.0	2284.0	2011.0	550.0	3342.0	5981.0	3590.0	992.0	6138.0	2803.0	3784.0	2314.0	3302.0	585.0	1553.0	1893.0	852.0	1586.0	2199.0	4221.0	1123.0	4245.0	4656.0	519.0	7174.0	8063.0	5315.0	3902.0	4049.0	288.0	563.0	370.0	2740.0	94217.6	1264512.0	1489493.778253
sub-0033	993.0	696.0	2173.0	1442.0	449.0	3384.0	5790.0	3390.0	854.0	5375.0	2710.0	2948.0	2247.0	3493.0	727.0	1611.0	1177.0	858.0	1190.0	1331.0	4089.0	1124.0	5417.0	3776.0	481.0	5766.0	7765.0	4992.0	3561.0	3655.0	338.0	423.0	337.0	2567.0	87013.3	1234151.0	1390204.431298
sub-0034	913.0	893.0	2186.0	1436.0	491.0	3169.0	5759.0	3531.0	830.0	5054.0	2781.0	3254.0	2083.0	3597.0	647.0	1510.0	1520.0	847.0	1546.0	1452.0	3469.0	1142.0	4224.0	4116.0	735.0	5996.0	6440.0	5267.0	3790.0	3704.0	328.0	490.0	315.0	2520.0	86032.9	1192164.0	1548854.973346
sub-0035	1009.0	899.0	2597.0	1996.0	407.0	2804.0	6007.0	3778.0	938.0	5651.0	2984.0	3250.0	2040.0	3940.0	664.0	1379.0	1628.0	921.0	1580.0	1394.0	4126.0	1279.0	5420.0	4760.0	704.0	5513.0	7731.0	6138.0	4229.0	3880.0	313.0	490.0	406.0	2263.0	93108.0	1178058.0	1285548.492311
sub-0036	995.0	626.0	2418.0	1725.0	509.0	3076.0	6584.0	4168.0	873.0	4837.0	3148.0	3131.0	2136.0	4187.0	611.0	1651.0	1674.0	896.0	1575.0	1475.0	3685.0	1255.0	4576.0	4330.0	570.0	6339.0	7558.0	6399.0	3761.0	3958.0	347.0	521.0	342.0	2235.0	92171.5	1206564.0	1325186.698783
sub-0037	917.0	587.0	2247.0	1448.0	424.0	2755.0	5115.0	2968.0	800.0	4059.0	3078.0	3358.0	1920.0	3076.0	558.0	1635.0	1199.0	724.0	1612.0	1351.0	4011.0	1166.0	5032.0	3534.0	559.0	4811.0	6657.0	4812.0	3742.0	3337.0	282.0	417.0	375.0	2179.0	80739.4	1040608.0	1039161.90809
sub-0038	942.0	729.0	2018.0	1794.0	474.0	3714.0	5518.0	3811.0	1105.0	6455.0	2890.0	3849.0	2054.0	3677.0	683.0	1397.0	1425.0	847.0	1619.0	1774.0	4056.0	1277.0	4908.0	4492.0	630.0	5431.0	6640.0	5853.0	4094.0	3845.0	385.0	515.0	346.0	2431.0	91679.1	1176616.0	1370328.370742
sub-0039	1095.0	613.0	2488.0	1463.0	459.0	2915.0	5738.0	3362.0	800.0	5299.0	2791.0	3122.0	2193.0	3533.0	650.0	1744.0	1572.0	886.0	1775.0	1486.0	2725.0	1417.0	6404.0	3321.0	515.0	5943.0	6571.0	3748.0	3655.0	2800.0	309.0	521.0	324.0	2244.0	84480.0	1126390.0	1282072.917977
sub-0040	1053.0	945.0	2684.0	2133.0	586.0	3625.0	6963.0	4457.0	959.0	6221.0	3029.0	4021.0	2496.0	4688.0	675.0	1601.0	1641.0	917.0	1898.0	2021.0	4988.0	1262.0	6254.0	5579.0	976.0	7151.0	10486.0	6776.0	4972.0	4728.0	352.0	545.0	380.0	2928.0	109977.0	1365708.0	1776357.318161
sub-0041	1233.0	739.0	2267.0	1554.0	398.0	2693.0	5850.0	3185.0	977.0	4524.0	2800.0	3271.0	1957.0	4090.0	706.0	1330.0	1454.0	894.0	1458.0	1517.0	3801.0	1280.0	4856.0	3589.0	582.0	6252.0	6702.0	5148.0	4219.0	4292.0	353.0	430.0	348.0	2556.0	87288.8	1123563.0	1211554.573673
sub-0042	851.0	749.0	2009.0	1819.0	575.0	3240.0	6067.0	4237.0	842.0	5062.0	3026.0	3397.0	2382.0	4315.0	660.0	1672.0	1386.0	1010.0	1888.0	1570.0	3795.0	1327.0	4674.0	4156.0	718.0	7378.0	7867.0	5054.0	3904.0	3595.0	360.0	607.0	362.0	3087.0	93636.5	1260747.0	1595125.765693
sub-0043	682.0	497.0	2855.0	1974.0	572.0	3407.0	4373.0	3446.0	1226.0	6001.0	2684.0	3390.0	2040.0	3855.0	650.0	1408.0	1484.0	938.0	1572.0	1709.0	4296.0	1285.0	5052.0	3903.0	596.0	6456.0	7658.0	5161.0	3839.0	3757.0	328.0	496.0	342.0	2549.0	90465.6	1207592.0	1573892.518748
sub-0044	1001.0	910.0	1666.0	1841.0	399.0	2898.0	5542.0	3015.0	1019.0	5482.0	2720.0	3410.0	2031.0	3962.0	659.0	1443.0	1338.0	983.0	1409.0	1474.0	3790.0	1386.0	4608.0	4091.0	620.0	7072.0	7342.0	5129.0	4172.0	3756.0	354.0	522.0	338.0	2725.0	89096.5	1263702.0	1447858.351082
sub-0045	1181.0	1315.0	3017.0	1896.0	314.0	3578.0	5737.0	3866.0	1250.0	5900.0	3775.0	3851.0	2345.0	4170.0	728.0	1631.0	1605.0	937.0	1942.0	1937.0	4537.0	1682.0	5891.0	4918.0	1075.0	7199.0	9193.0	6691.0	4635.0	5397.0	354.0	434.0	448.0	2879.0	106295.0	1384451.0	1641357.40128
sub-0046	919.0	841.0	2388.0	1619.0	480.0	3226.0	5219.0	3583.0	922.0	4752.0	3269.0	3218.0	2302.0	3956.0	576.0	1545.0	1442.0	996.0	1289.0	1510.0	3701.0	1249.0	4895.0	4474.0	729.0	6487.0	7919.0	5592.0	4019.0	3993.0	380.0	485.0	361.0	2283.0	90617.9	1196331.0	1302253.120518
sub-0047	1032.0	742.0	2328.0	1805.0	401.0	3051.0	5232.0	3590.0	1401.0	5510.0	3140.0	3723.0	2086.0	4232.0	629.0	1391.0	1615.0	821.0	1770.0	1630.0	3959.0	1790.0	4450.0	4254.0	702.0	6890.0	7578.0	5876.0	4004.0	4128.0	335.0	438.0	373.0	2240.0	93135.0	1131089.0	1352635.107834
sub-0048	818.0	701.0	2016.0	1406.0	469.0	2633.0	5275.0	3158.0	782.0	4365.0	2396.0	2637.0	1845.0	3344.0	622.0	1466.0	1535.0	799.0	1564.0	1211.0	3775.0	1042.0	4114.0	3677.0	494.0	5380.0	6334.0	5417.0	3351.0	3918.0	294.0	493.0	294.0	2411.0	80034.4	1065029.0	1275646.579865
sub-0049	994.0	724.0	2088.0	1389.0	465.0	3135.0	5174.0	3285.0	774.0	4805.0	3021.0	2588.0	2113.0	3654.0	641.0	1444.0	1342.0	900.0	1350.0	1268.0	3822.0	1011.0	5206.0	3389.0	541.0	5058.0	7076.0	5019.0	3861.0	3806.0	338.0	451.0	369.0	2017.0	83033.9	1063425.0	1241971.165177
sub-0050	741.0	700.0	2022.0	1343.0	379.0	2591.0	4168.0	3209.0	680.0	3676.0	2409.0	2913.0	1726.0	3314.0	492.0	1405.0	1394.0	651.0	1546.0	1283.0	3236.0	1105.0	4032.0	3672.0	592.0	5026.0	6153.0	4765.0	3213.0	3328.0	295.0	452.0	302.0	2381.0	75186.1	1004192.0	1167348.605998
sub-0051	874.0	611.0	2538.0	1695.0	468.0	3287.0	5180.0	3934.0	792.0	5326.0	2938.0	3395.0	2014.0	3743.0	700.0	1564.0	1173.0	815.0	1346.0	1452.0	3855.0	1278.0	4872.0	4709.0	512.0	6225.0	8324.0	5940.0	3524.0	3645.0	318.0	519.0	324.0	2263.0	90148.0	1129476.0	1367177.983431
sub-0052	1233.0	1051.0	2622.0	1932.0	402.0	3673.0	7786.0	3375.0	1171.0	7038.0	3261.0	3752.0	2579.0	4135.0	810.0	1740.0	1893.0	1085.0	2095.0	1627.0	4879.0	1459.0	5042.0	5059.0	956.0	7377.0	9035.0	7531.0	4385.0	4746.0	401.0	465.0	380.0	2816.0	107780.0	1393928.0	1612813.686328
sub-0053	904.0	731.0	1892.0	1693.0	464.0	2870.0	5273.0	3502.0	882.0	5081.0	2804.0	3224.0	1791.0	3964.0	658.0	1567.0	1501.0	956.0	1585.0	1588.0	4091.0	1067.0	5105.0	3691.0	593.0	5543.0	6596.0	5365.0	3734.0	4166.0	344.0	469.0	360.0	2121.0	86171.7	1085378.0	1448329.281742
sub-0054	732.0	537.0	1946.0	1235.0	364.0	2575.0	5167.0	2956.0	951.0	4878.0	2288.0	2455.0	1633.0	3212.0	656.0	1439.0	1550.0	773.0	1833.0	1139.0	3576.0	1038.0	4200.0	3837.0	568.0	4416.0	6000.0	4666.0	3378.0	3063.0	307.0	408.0	318.0	2310.0	76398.4	1051119.0	1474969.459443
sub-0055	944.0	703.0	1871.0	1632.0	418.0	3512.0	6227.0	3744.0	802.0	5734.0	3423.0	3335.0	2040.0	4141.0	694.0	1644.0	1232.0	1085.0	1665.0	1591.0	4761.0	1021.0	5352.0	4189.0	713.0	5852.0	7324.0	6064.0	3871.0	3840.0	365.0	531.0	350.0	2459.0	93130.5	1281831.0	1559112.265607
sub-0056	879.0	710.0	1892.0	1812.0	595.0	3386.0	6757.0	4579.0	934.0	5627.0	3147.0	3384.0	2129.0	3778.0	600.0	1493.0	1333.0	941.0	1604.0	1643.0	3987.0	1134.0	4801.0	4152.0	621.0	6123.0	7091.0	6194.0	3592.0	3617.0	358.0	672.0	364.0	2594.0	92513.1	1128463.0	1159536.339825
sub-0057	840.0	643.0	1740.0	1347.0	324.0	2827.0	5088.0	2958.0	698.0	4092.0	1649.0	2541.0	1531.0	2912.0	570.0	1437.0	1064.0	586.0	1103.0	1202.0	3372.0	941.0	3822.0	3497.0	450.0	4103.0	5717.0	4278.0	2870.0	3012.0	267.0	418.0	267.0	1694.0	69850.7	920873.0	1012605.008482
sub-0058	907.0	972.0	2470.0	1798.0	311.0	3484.0	6489.0	3945.0	1350.0	6396.0	3411.0	4500.0	2326.0	4051.0	793.0	1871.0	1770.0	1078.0	1926.0	1949.0	3909.0	1498.0	5395.0	4666.0	797.0	7631.0	8294.0	5913.0	4632.0	4095.0	443.0	485.0	427.0	2980.0	102964.0	1324301.0	1600616.506302
sub-0059	977.0	567.0	2319.0	1670.0	340.0	2958.0	5082.0	2957.0	888.0	5079.0	2900.0	3310.0	2245.0	3521.0	662.0	1492.0	1513.0	712.0	1449.0	1538.0	3595.0	1173.0	4446.0	4373.0	504.0	5775.0	7402.0	5857.0	3639.0	3522.0	269.0	533.0	332.0	2140.0	85668.5	1142257.0	1501855.143357
sub-0060	884.0	909.0	1742.0	1524.0	560.0	3521.0	6624.0	4033.0	960.0	5818.0	2958.0	2564.0	2218.0	3753.0	584.0	1325.0	1211.0	1083.0	1552.0	1355.0	4335.0	1241.0	4179.0	4524.0	812.0	6549.0	7592.0	5789.0	3468.0	4231.0	349.0	584.0	335.0	2459.0	91611.7	1205004.0	1505207.336789
sub-0061	1007.0	725.0	2769.0	1518.0	524.0	2959.0	6653.0	3197.0	878.0	4299.0	3487.0	3003.0	2141.0	3586.0	660.0	1695.0	1492.0	1032.0	1492.0	1417.0	4624.0	1218.0	4664.0	3985.0	817.0	7309.0	7995.0	5906.0	3430.0	3728.0	329.0	461.0	286.0	2225.0	91500.4	1181018.0	1369511.409073
sub-0062	1015.0	779.0	1853.0	1275.0	318.0	2923.0	4432.0	3241.0	762.0	3732.0	2702.0	2426.0	1925.0	3760.0	669.0	1481.0	1354.0	729.0	1590.0	1014.0	3592.0	1216.0	4243.0	3916.0	599.0	4802.0	6242.0	4664.0	3814.0	3676.0	258.0	480.0	336.0	2279.0	78098.6	1084223.0	1272209.610922
sub-0063	1062.0	880.0	1776.0	1777.0	452.0	2597.0	5073.0	3416.0	1299.0	5053.0	2929.0	3586.0	1972.0	3833.0	548.0	1138.0	1338.0	903.0	1627.0	1739.0	3675.0	1238.0	4312.0	4133.0	758.0	6757.0	5448.0	4887.0	3889.0	3582.0	303.0	501.0	322.0	2390.0	85183.5	1086311.0	1170114.002443
sub-0064	793.0	815.0	2107.0	1403.0	460.0	2888.0	4216.0	3593.0	775.0	4251.0	2640.0	3172.0	1790.0	2913.0	530.0	1200.0	1298.0	808.0	1498.0	1412.0	3375.0	973.0	4001.0	3817.0	594.0	5315.0	6250.0	4963.0	3016.0	3264.0	301.0	495.0	312.0	1746.0	76818.6	984512.0	1157736.089383
sub-0065	1051.0	843.0	2193.0	1440.0	396.0	2858.0	5221.0	3291.0	859.0	4502.0	2894.0	2431.0	1881.0	3736.0	575.0	1573.0	1729.0	1088.0	1900.0	1260.0	4149.0	1300.0	5323.0	3813.0	486.0	6221.0	7263.0	5138.0	4087.0	4592.0	309.0	417.0	380.0	2411.0	87486.9	1072697.0	1274150.700682
sub-0066	838.0	679.0	2217.0	1497.0	607.0	3093.0	4491.0	3358.0	926.0	5515.0	2412.0	3064.0	1969.0	3198.0	593.0	1622.0	1271.0	908.0	1798.0	1483.0	3710.0	1092.0	5140.0	4173.0	584.0	5895.0	8325.0	5224.0	3381.0	3944.0	309.0	477.0	338.0	2113.0	86227.5	1223530.0	1314873.090574
sub-0067	912.0	580.0	2421.0	1812.0	444.0	3089.0	5174.0	3514.0	941.0	4929.0	2934.0	3305.0	2165.0	3794.0	493.0	1328.0	1411.0	968.0	1327.0	1672.0	4474.0	1209.0	4658.0	4429.0	448.0	5471.0	7567.0	5216.0	3991.0	3352.0	339.0	472.0	342.0	2448.0	87623.5	1108653.0	1454330.520659
sub-0068	960.0	636.0	2399.0	1851.0	497.0	3010.0	5872.0	3609.0	1011.0	5393.0	2436.0	2921.0	1762.0	3158.0	577.0	1670.0	1513.0	779.0	1663.0	1434.0	3930.0	1084.0	4531.0	4040.0	543.0	6653.0	7301.0	5382.0	3451.0	2936.0	304.0	499.0	302.0	2065.0	86023.5	1126409.0	1186125.767314
sub-0069	822.0	717.0	2072.0	1620.0	405.0	2963.0	4455.0	3184.0	772.0	4972.0	2874.0	3007.0	2047.0	3073.0	602.0	1495.0	1482.0	865.0	1671.0	1589.0	3544.0	1217.0	4532.0	3574.0	667.0	6095.0	7017.0	5221.0	3280.0	3346.0	305.0	498.0	308.0	1992.0	82284.6	1094167.0	1221414.088014
sub-0070	797.0	873.0	2417.0	2345.0	566.0	3469.0	5790.0	4314.0	1111.0	6680.0	3170.0	3961.0	2561.0	3918.0	771.0	1669.0	1445.0	886.0	2096.0	2549.0	4672.0	1282.0	4687.0	4156.0	817.0	7480.0	8085.0	4995.0	3439.0	3710.0	362.0	629.0	266.0	3166.0	99133.1	1292486.0	1755328.487204
