lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0011	1166.0	586.0	2098.0	1352.0	530.0	2667.0	4231.0	3176.0	1052.0	4631.0	2564.0	3104.0	1839.0	2965.0	522.0	1328.0	1757.0	640.0	1310.0	1376.0	4076.0	1048.0	4402.0	3774.0	724.0	5880.0	6843.0	4558.0	3856.0	3826.0	246.0	480.0	475.0	2130.0	81210.6	1074820.0	1243840.702788
sub-0012	1082.0	730.0	2368.0	1628.0	436.0	3129.0	4961.0	3175.0	943.0	4994.0	2701.0	3389.0	1812.0	3458.0	662.0	1289.0	1441.0	727.0	1356.0	1585.0	4169.0	1090.0	4804.0	3961.0	923.0	6102.0	7286.0	5572.0	3618.0	4081.0	318.0	528.0	452.0	1999.0	86756.0	1111331.0	1264759.854439
sub-0013	1013.0	573.0	2288.0	1234.0	466.0	2563.0	4819.0	3544.0	812.0	4131.0	2283.0	2331.0	1715.0	3315.0	573.0	1284.0	1521.0	576.0	1342.0	1064.0	4237.0	1303.0	5099.0	2924.0	960.0	4640.0	7303.0	4638.0	3888.0	3172.0	252.0	471.0	423.0	2194.0	78948.2	990010.0	1265525.676304
sub-0014	1021.0	661.0	2532.0	1393.0	608.0	3419.0	4416.0	3100.0	874.0	4952.0	2761.0	3107.0	2115.0	3022.0	665.0	1262.0	1422.0	678.0	1375.0	1302.0	4103.0	1171.0	4390.0	3414.0	789.0	5850.0	7163.0	4660.0	3692.0	3710.0	245.0	447.0	415.0	2155.0	82880.2	1120069.0	1194162.842278
sub-0015	950.0	739.0	2076.0	1546.0	498.0	3133.0	4046.0	3525.0	1037.0	5275.0	2924.0	2965.0	1989.0	3161.0	667.0	1269.0	1510.0	692.0	1292.0	1537.0	4140.0	1026.0	4509.0	3624.0	953.0	5779.0	6647.0	4938.0	3856.0	4044.0	275.0	447.0	388.0	2474.0	83929.7	1171623.0	1339820.259997
sub-0016	942.0	537.0	2474.0	1453.0	483.0	3088.0	4594.0	3969.0	998.0	5002.0	2705.0	2950.0	1750.0	3610.0	726.0	1326.0	1797.0	752.0	1506.0	1443.0	4128.0	1107.0	4557.0	3891.0	739.0	5970.0	7456.0	5367.0	4089.0	3963.0	275.0	495.0	460.0	3042.0	87523.8	1139249.0	1474210.897235
sub-0017	1114.0	640.0	2083.0	1292.0	500.0	2672.0	4235.0	3509.0	808.0	4004.0	2400.0	2176.0	1613.0	3030.0	554.0	1207.0	1389.0	626.0	1193.0	1032.0	3708.0	1223.0	4466.0	3077.0	891.0	5361.0	6364.0	4236.0	3488.0	4074.0	234.0	403.0	343.0	2029.0	75972.4	1029582.0	1337595.153561
sub-0018	1008.0	659.0	1789.0	1775.0	519.0	3656.0	4794.0	3851.0	751.0	5183.0	2839.0	2862.0	1841.0	3027.0	695.0	1544.0	1723.0	739.0	1553.0	1507.0	3814.0	1085.0	4258.0	4285.0	858.0	5557.0	7399.0	5947.0	3488.0	4939.0	251.0	565.0	364.0	2483.0	87598.2	1134499.0	1314539.920729
sub-0019	910.0	812.0	2010.0	1313.0	690.0	3085.0	3626.0	3210.0	865.0	4730.0	2678.0	2644.0	1908.0	2725.0	644.0	1466.0	1642.0	758.0	1530.0	1185.0	4011.0	1256.0	4752.0	3708.0	869.0	5770.0	6396.0	5073.0	3635.0	3726.0	299.0	470.0	459.0	2596.0	81450.7	1113947.0	1196587.615369
sub-0020	852.0	770.0	2231.0	1463.0	461.0	2949.0	5248.0	4244.0	869.0	4984.0	2836.0	2946.0	2112.0	3772.0	737.0	1335.0	1495.0	718.0	1435.0	1229.0	3572.0	1302.0	4459.0	3851.0	1080.0	5919.0	7007.0	5498.0	3869.0	3845.0	274.0	403.0	381.0	2183.0	86321.4	1150630.0	1315502.237016
sub-0021	1487.0	1085.0	2317.0	1500.0	502.0	4109.0	6224.0	4846.0	1222.0	6344.0	3248.0	2609.0	2350.0	4392.0	744.0	1740.0	2306.0	863.0	1687.0	1138.0	5320.0	1628.0	5384.0	4461.0	1141.0	7642.0	8945.0	5620.0	5366.0	5193.0	312.0	546.0	569.0	2525.0	105365.0	1372085.0	1609779.54358
sub-0022	1108.0	709.0	2057.0	1792.0	583.0	3577.0	4523.0	4172.0	711.0	5666.0	2670.0	3567.0	1879.0	4160.0	687.0	1490.0	1507.0	719.0	1422.0	1584.0	4041.0	1074.0	4354.0	3594.0	858.0	6338.0	7587.0	5601.0	4247.0	4040.0	280.0	600.0	431.0	2217.0	89804.8	1221000.0	1408518.840885
sub-0023	1321.0	443.0	2328.0	1784.0	556.0	3152.0	4107.0	2841.0	878.0	5247.0	2884.0	3196.0	1803.0	3136.0	650.0	1250.0	1726.0	649.0	1280.0	1706.0	3677.0	1100.0	4142.0	3503.0	734.0	5605.0	6958.0	4667.0	3790.0	4018.0	236.0	466.0	459.0	2513.0	82801.8	1084941.0	1210037.224423
sub-0024	1038.0	705.0	2327.0	1842.0	473.0	3792.0	5366.0	3704.0	1276.0	6857.0	2717.0	3281.0	2213.0	3227.0	676.0	1398.0	2542.0	762.0	1873.0	1569.0	4210.0	1299.0	5412.0	4046.0	904.0	7532.0	7412.0	5266.0	4071.0	4545.0	308.0	490.0	505.0	2478.0	96108.6	1255311.0	1703918.889579
sub-0025	992.0	662.0	2203.0	1274.0	453.0	2858.0	4527.0	3343.0	884.0	4980.0	2806.0	2582.0	1741.0	3431.0	601.0	1213.0	1528.0	750.0	1258.0	1193.0	3692.0	1243.0	4431.0	3203.0	859.0	5286.0	8320.0	4560.0	4235.0	3704.0	256.0	465.0	427.0	2511.0	82390.8	1140770.0	1193695.388857
sub-0026	1026.0	623.0	2309.0	1717.0	485.0	3426.0	4891.0	3437.0	995.0	6055.0	2655.0	3306.0	1954.0	3470.0	700.0	1471.0	1733.0	843.0	1335.0	1456.0	4242.0	1300.0	4636.0	3881.0	905.0	6655.0	7624.0	6555.0	4745.0	4231.0	283.0	496.0	525.0	2603.0	92560.3	1228402.0	1520543.146445
sub-0027	972.0	621.0	2260.0	1696.0	336.0	2937.0	4092.0	3128.0	856.0	4517.0	2873.0	3139.0	1729.0	3156.0	562.0	1580.0	1690.0	689.0	1474.0	1442.0	3914.0	1269.0	4201.0	3677.0	803.0	6071.0	7735.0	4848.0	3621.0	3602.0	249.0	459.0	415.0	2148.0	82757.3	1091162.0	1143148.09348
sub-0028	1313.0	619.0	2328.0	1755.0	676.0	3894.0	5263.0	3220.0	1256.0	5788.0	2948.0	3728.0	2322.0	3272.0	905.0	1478.0	2217.0	647.0	1659.0	1744.0	4089.0	1289.0	4634.0	4481.0	1049.0	5976.0	7600.0	5458.0	4453.0	3943.0	268.0	594.0	576.0	2776.0	94212.2	1285061.0	1768709.871258
sub-0029	1277.0	514.0	2178.0	1426.0	418.0	2815.0	4186.0	3248.0	925.0	5198.0	2721.0	2946.0	1880.0	3090.0	688.0	1251.0	1625.0	678.0	1346.0	1396.0	3999.0	1006.0	4296.0	3500.0	907.0	5882.0	7566.0	4468.0	3839.0	3663.0	297.0	436.0	389.0	2218.0	82261.9	1121926.0	1307248.794911
sub-0030	1495.0	909.0	1940.0	1677.0	640.0	3676.0	5750.0	4573.0	1353.0	6528.0	2853.0	3253.0	2115.0	4325.0	727.0	1421.0	1534.0	803.0	1442.0	1199.0	4575.0	1389.0	4529.0	4375.0	1109.0	7212.0	7677.0	5820.0	4159.0	6097.0	288.0	574.0	387.0	2493.0	98889.4	1360253.0	1634121.287963
sub-0031	1004.0	632.0	2223.0	1739.0	398.0	2907.0	4185.0	3069.0	990.0	5311.0	2567.0	2824.0	1852.0	3092.0	497.0	1392.0	1576.0	657.0	1104.0	1437.0	3609.0	1089.0	5003.0	3495.0	747.0	5042.0	6889.0	4884.0	4023.0	4044.0	294.0	504.0	637.0	2331.0	82038.8	1066825.0	1329892.526925
sub-0032	1031.0	781.0	2439.0	1913.0	603.0	3605.0	4984.0	3785.0	1159.0	5564.0	2735.0	3413.0	1846.0	3050.0	776.0	1451.0	1736.0	735.0	1176.0	1569.0	4646.0	1246.0	4922.0	4374.0	895.0	6364.0	7439.0	5777.0	4006.0	4806.0	245.0	519.0	477.0	2678.0	92741.0	1264512.0	1489493.778253
sub-0033	1261.0	519.0	2262.0	1340.0	440.0	3496.0	4801.0	3151.0	822.0	5271.0	2879.0	3043.0	2057.0	2966.0	740.0	1278.0	1734.0	762.0	1535.0	1416.0	4459.0	1114.0	5019.0	3588.0	809.0	5839.0	7985.0	5330.0	4482.0	4732.0	268.0	429.0	579.0	2393.0	88794.4	1234151.0	1390204.431298
sub-0034	1170.0	635.0	2041.0	1583.0	484.0	3149.0	4628.0	3398.0	808.0	5028.0	2703.0	3371.0	1832.0	3273.0	753.0	1328.0	1532.0	689.0	1227.0	1448.0	3663.0	1174.0	4308.0	3978.0	887.0	5827.0	7414.0	5761.0	4258.0	3717.0	274.0	465.0	461.0	2277.0	85542.8	1192164.0	1548854.973346
sub-0035	1096.0	560.0	2557.0	1643.0	411.0	3293.0	4825.0	3715.0	1068.0	6755.0	3094.0	3285.0	1876.0	3851.0	682.0	1375.0	2335.0	772.0	1558.0	1137.0	5088.0	1387.0	5027.0	4203.0	928.0	6003.0	8411.0	4739.0	4349.0	4609.0	276.0	468.0	522.0	2480.0	94373.6	1178058.0	1285548.492311
sub-0036	1049.0	729.0	2045.0	1630.0	560.0	3606.0	4925.0	3580.0	852.0	5108.0	2898.0	2778.0	1628.0	3487.0	666.0	1577.0	1708.0	738.0	1142.0	1524.0	3946.0	1270.0	4342.0	4481.0	985.0	6310.0	8200.0	6505.0	4423.0	4831.0	279.0	564.0	496.0	2694.0	91536.9	1206564.0	1325186.698783
sub-0037	831.0	473.0	2182.0	1448.0	451.0	2925.0	4021.0	2905.0	1048.0	4537.0	2654.0	2794.0	1716.0	2742.0	650.0	1267.0	1595.0	590.0	1306.0	1209.0	4301.0	979.0	4991.0	4022.0	832.0	4533.0	7102.0	5569.0	4000.0	3775.0	242.0	518.0	480.0	2212.0	80901.0	1040608.0	1039161.90809
sub-0038	919.0	707.0	1873.0	1758.0	673.0	3980.0	4462.0	3833.0	1182.0	6426.0	3007.0	3350.0	1843.0	3496.0	716.0	1350.0	1856.0	812.0	1795.0	1665.0	4662.0	1379.0	4788.0	4361.0	895.0	5676.0	6798.0	5790.0	4279.0	4372.0	273.0	517.0	515.0	2549.0	92553.0	1176616.0	1370328.370742
sub-0039	1199.0	678.0	1877.0	1275.0	453.0	3039.0	4921.0	3322.0	985.0	5152.0	2693.0	2600.0	1900.0	3064.0	780.0	1396.0	1842.0	750.0	1543.0	1223.0	3676.0	1103.0	4136.0	3950.0	855.0	5664.0	6707.0	5454.0	4054.0	3917.0	247.0	459.0	456.0	2453.0	83727.2	1126390.0	1282072.917977
sub-0040	1238.0	665.0	2324.0	2190.0	673.0	4232.0	6063.0	3812.0	1276.0	6932.0	3218.0	3634.0	2496.0	3444.0	720.0	1559.0	1950.0	815.0	1948.0	1918.0	5287.0	1421.0	5288.0	5083.0	1130.0	7818.0	9876.0	6573.0	5137.0	4638.0	354.0	579.0	628.0	2920.0	107827.0	1365708.0	1776357.318161
sub-0041	1149.0	667.0	2022.0	1484.0	327.0	2799.0	5226.0	3516.0	1069.0	4821.0	2807.0	2897.0	1892.0	3853.0	649.0	1226.0	2271.0	726.0	1278.0	1381.0	3837.0	1320.0	4402.0	3381.0	826.0	5705.0	7639.0	5294.0	4405.0	4251.0	273.0	500.0	441.0	2636.0	86971.5	1123563.0	1211554.573673
sub-0042	1103.0	604.0	2506.0	1557.0	501.0	3632.0	5646.0	3712.0	1138.0	5827.0	2855.0	2723.0	2357.0	3805.0	724.0	1456.0	1548.0	750.0	1657.0	1177.0	3923.0	1089.0	4845.0	3935.0	923.0	6888.0	7879.0	5102.0	4240.0	4254.0	268.0	561.0	406.0	2697.0	92279.1	1260747.0	1595125.765693
sub-0043	1025.0	447.0	2242.0	1479.0	684.0	3426.0	3928.0	3939.0	1339.0	5780.0	2679.0	3430.0	1827.0	3243.0	779.0	1250.0	1527.0	785.0	1480.0	1526.0	4143.0	1225.0	5567.0	4029.0	743.0	6592.0	8115.0	5213.0	4110.0	4400.0	324.0	588.0	487.0	2536.0	90756.9	1207592.0	1573892.518748
sub-0044	1038.0	598.0	2092.0	1629.0	570.0	3117.0	5024.0	3600.0	1165.0	4914.0	2860.0	3015.0	2098.0	3468.0	677.0	1421.0	1467.0	948.0	1553.0	1320.0	4039.0	1284.0	4899.0	4110.0	916.0	6052.0	7531.0	5700.0	4303.0	3884.0	359.0	489.0	429.0	2351.0	88752.2	1263702.0	1447858.351082
sub-0045	1571.0	747.0	2998.0	2124.0	358.0	4029.0	5641.0	3965.0	1241.0	5743.0	3431.0	3963.0	2520.0	3997.0	745.0	1584.0	2046.0	880.0	1764.0	1924.0	4733.0	1757.0	5245.0	4785.0	907.0	7356.0	9402.0	6873.0	4784.0	4739.0	317.0	447.0	519.0	2906.0	106039.0	1384451.0	1641357.40128
sub-0046	1142.0	663.0	2706.0	1364.0	570.0	3362.0	5295.0	3670.0	973.0	6065.0	3180.0	3188.0	2038.0	3328.0	617.0	1443.0	1504.0	706.0	1230.0	1334.0	4484.0	1460.0	4851.0	3894.0	1022.0	5874.0	8698.0	5578.0	4110.0	4275.0	309.0	459.0	460.0	2386.0	92221.1	1196331.0	1302253.120518
sub-0047	1040.0	799.0	2327.0	1807.0	430.0	3926.0	4768.0	3610.0	1346.0	6157.0	2807.0	3090.0	1925.0	3903.0	706.0	1305.0	2063.0	743.0	1439.0	1476.0	4338.0	1441.0	4810.0	4062.0	1174.0	5317.0	8051.0	5662.0	4101.0	4301.0	275.0	452.0	508.0	2560.0	92617.2	1131089.0	1352635.107834
sub-0048	1068.0	631.0	2103.0	1425.0	445.0	3088.0	4155.0	2958.0	934.0	5052.0	2507.0	2766.0	1715.0	2999.0	659.0	1272.0	1661.0	642.0	1238.0	1113.0	3588.0	1216.0	3942.0	3678.0	746.0	5165.0	6551.0	4978.0	3975.0	4272.0	267.0	430.0	444.0	2518.0	80182.9	1065029.0	1275646.579865
sub-0049	1130.0	528.0	2153.0	1380.0	492.0	3323.0	4971.0	3578.0	830.0	5243.0	2893.0	2456.0	2106.0	3531.0	683.0	1194.0	1788.0	701.0	1373.0	1042.0	3687.0	1152.0	4640.0	3323.0	707.0	4888.0	7812.0	5127.0	3695.0	3468.0	281.0	507.0	418.0	2187.0	83283.1	1063425.0	1241971.165177
sub-0050	865.0	465.0	2446.0	1303.0	388.0	2461.0	4150.0	3103.0	726.0	4251.0	2672.0	2730.0	1838.0	3048.0	578.0	1302.0	1309.0	586.0	1101.0	1129.0	3344.0	1020.0	4539.0	3433.0	663.0	4684.0	6822.0	4766.0	3636.0	3782.0	209.0	471.0	403.0	2102.0	76324.3	1004192.0	1167348.605998
sub-0051	1222.0	722.0	2491.0	1421.0	395.0	3771.0	4938.0	3686.0	962.0	5344.0	2825.0	2994.0	1941.0	3297.0	667.0	1344.0	1639.0	700.0	1249.0	1182.0	4053.0	1409.0	4627.0	4493.0	779.0	5960.0	7803.0	6427.0	4207.0	3967.0	281.0	435.0	503.0	2107.0	89711.5	1129476.0	1367177.983431
sub-0052	1188.0	798.0	2553.0	1997.0	504.0	3966.0	5322.0	4581.0	1383.0	6255.0	3341.0	3803.0	2541.0	3725.0	720.0	1641.0	1746.0	918.0	1631.0	1868.0	5169.0	1535.0	5631.0	4841.0	792.0	7080.0	9429.0	6784.0	4307.0	6098.0	373.0	550.0	577.0	2790.0	106422.0	1393928.0	1612813.686328
sub-0053	1423.0	558.0	2411.0	1632.0	421.0	2993.0	4421.0	3585.0	1038.0	5176.0	2713.0	3241.0	1932.0	3854.0	656.0	1187.0	1565.0	700.0	1274.0	1257.0	4276.0	1033.0	4956.0	3882.0	883.0	5064.0	6726.0	5485.0	4160.0	3942.0	237.0	447.0	388.0	2313.0	85802.2	1085378.0	1448329.281742
sub-0054	1014.0	521.0	1843.0	1252.0	377.0	2633.0	3958.0	2936.0	1080.0	4254.0	2418.0	2414.0	1837.0	3047.0	658.0	1182.0	1742.0	550.0	1332.0	984.0	3677.0	1095.0	4004.0	3646.0	656.0	4668.0	6759.0	5365.0	3867.0	3784.0	182.0	442.0	363.0	2672.0	77190.0	1051119.0	1474969.459443
sub-0055	1073.0	667.0	2188.0	1648.0	512.0	3816.0	5614.0	4462.0	1027.0	5863.0	2949.0	3095.0	2358.0	3751.0	680.0	1200.0	1529.0	840.0	1523.0	1463.0	4868.0	1235.0	4816.0	4048.0	871.0	5982.0	7642.0	6469.0	4038.0	3640.0	276.0	478.0	427.0	2657.0	93704.8	1281831.0	1559112.265607
sub-0056	1443.0	722.0	2244.0	1762.0	687.0	3152.0	4942.0	4247.0	988.0	5576.0	3206.0	3249.0	2099.0	3393.0	651.0	1348.0	1552.0	814.0	1410.0	1669.0	4457.0	1187.0	4585.0	4164.0	897.0	5858.0	6910.0	6410.0	4119.0	4531.0	312.0	651.0	495.0	2610.0	92339.3	1128463.0	1159536.339825
sub-0057	1167.0	550.0	1862.0	1107.0	340.0	3441.0	4405.0	2746.0	765.0	4167.0	1781.0	2557.0	1431.0	2319.0	606.0	1200.0	1250.0	523.0	999.0	961.0	3406.0	1014.0	3727.0	3400.0	699.0	3971.0	5394.0	4437.0	2984.0	3770.0	200.0	428.0	334.0	2006.0	69936.9	920873.0	1012605.008482
sub-0058	955.0	756.0	2496.0	1758.0	602.0	3978.0	5134.0	4351.0	1511.0	6506.0	3310.0	3584.0	2090.0	3764.0	821.0	1561.0	2177.0	928.0	2042.0	1656.0	4444.0	1225.0	5183.0	4945.0	1039.0	7290.0	9007.0	6946.0	4631.0	4505.0	331.0	546.0	549.0	3130.0	103732.0	1324301.0	1600616.506302
sub-0059	925.0	777.0	1901.0	1668.0	406.0	3043.0	4113.0	3320.0	965.0	5333.0	2719.0	2900.0	2227.0	3147.0	724.0	1531.0	1785.0	626.0	1464.0	1409.0	4009.0	1324.0	4387.0	4415.0	851.0	5952.0	6959.0	6041.0	3752.0	4349.0	294.0	592.0	425.0	2420.0	86738.6	1142257.0	1501855.143357
sub-0060	1158.0	850.0	2069.0	1591.0	633.0	3378.0	5375.0	3886.0	1133.0	4880.0	3162.0	2709.0	2076.0	4171.0	767.0	1220.0	1335.0	849.0	1130.0	1296.0	4215.0	1180.0	4679.0	4732.0	1071.0	6054.0	7425.0	6325.0	4238.0	4979.0	267.0	564.0	545.0	2371.0	92298.4	1205004.0	1505207.336789
sub-0061	1057.0	657.0	2425.0	1420.0	519.0	3073.0	5844.0	3470.0	752.0	5401.0	3125.0	2963.0	1994.0	3088.0	676.0	1547.0	2147.0	750.0	1557.0	1265.0	4155.0	1291.0	4645.0	3776.0	1098.0	7474.0	8602.0	5997.0	3425.0	3791.0	277.0	428.0	411.0	2192.0	91289.4	1181018.0	1369511.409073
sub-0062	1110.0	599.0	1993.0	1072.0	423.0	3090.0	4403.0	3378.0	923.0	3661.0	2628.0	2326.0	1668.0	3439.0	665.0	1357.0	1597.0	524.0	1209.0	878.0	3950.0	1229.0	4041.0	3784.0	902.0	4733.0	6741.0	4774.0	4108.0	4209.0	236.0	437.0	480.0	2936.0	79310.7	1084223.0	1272209.610922
sub-0063	1285.0	812.0	1968.0	1733.0	493.0	2953.0	5289.0	3790.0	1127.0	4930.0	2828.0	3179.0	1924.0	4003.0	542.0	1317.0	1491.0	678.0	1395.0	1564.0	3807.0	1168.0	4559.0	3884.0	909.0	5769.0	6499.0	4746.0	3920.0	3053.0	246.0	512.0	425.0	2189.0	84986.2	1086311.0	1170114.002443
sub-0064	1020.0	526.0	1992.0	1351.0	411.0	2927.0	3741.0	3118.0	888.0	4710.0	2435.0	2760.0	1532.0	3193.0	571.0	1287.0	1497.0	679.0	1217.0	1239.0	3471.0	1068.0	4132.0	3677.0	694.0	4691.0	7122.0	4913.0	3757.0	3899.0	236.0	431.0	410.0	1989.0	77584.3	984512.0	1157736.089383
sub-0065	1611.0	731.0	2260.0	1321.0	367.0	3048.0	5056.0	3412.0	896.0	4809.0	2572.0	2415.0	1939.0	3433.0	638.0	1413.0	1605.0	804.0	1391.0	1150.0	4227.0	1434.0	5072.0	3688.0	955.0	6227.0	7298.0	4825.0	3961.0	4489.0	268.0	369.0	478.0	2460.0	86615.1	1072697.0	1274150.700682
sub-0066	673.0	772.0	3058.0	1577.0	586.0	3191.0	4193.0	3419.0	1120.0	5144.0	2555.0	2777.0	1809.0	2705.0	674.0	1318.0	1548.0	649.0	1356.0	1236.0	4381.0	1301.0	5959.0	3794.0	862.0	5473.0	7353.0	6048.0	3712.0	4960.0	280.0	550.0	552.0	2321.0	87904.6	1223530.0	1314873.090574
sub-0067	949.0	675.0	2391.0	1728.0	532.0	3789.0	4859.0	3507.0	1034.0	5431.0	2845.0	3140.0	1731.0	3503.0	658.0	1283.0	1452.0	764.0	1330.0	1742.0	4053.0	1200.0	4781.0	3668.0	887.0	5636.0	7738.0	5321.0	4040.0	3873.0	251.0	440.0	449.0	2619.0	88109.6	1108653.0	1454330.520659
sub-0068	1066.0	723.0	2514.0	1509.0	614.0	2898.0	3780.0	3378.0	965.0	4622.0	2606.0	2926.0	2057.0	3150.0	724.0	1402.0	1662.0	642.0	1236.0	1356.0	3537.0	1306.0	4327.0	4101.0	814.0	5436.0	7395.0	5478.0	4336.0	4314.0	224.0	512.0	514.0	2183.0	84294.0	1126409.0	1186125.767314
sub-0069	850.0	643.0	2263.0	1319.0	523.0	2952.0	3223.0	3421.0	968.0	5036.0	2606.0	3043.0	1909.0	3004.0	661.0	1422.0	1667.0	681.0	1312.0	1335.0	4224.0	1081.0	4768.0	3610.0	1024.0	5698.0	6951.0	4933.0	3818.0	3604.0	258.0	423.0	520.0	2302.0	82038.8	1094167.0	1221414.088014
sub-0070	995.0	1076.0	2609.0	1894.0	659.0	3970.0	6115.0	4404.0	1244.0	6790.0	3214.0	3666.0	2148.0	3429.0	782.0	1368.0	1805.0	690.0	1345.0	1884.0	4474.0	1395.0	5783.0	4038.0	1125.0	6097.0	7987.0	5404.0	3969.0	3747.0	300.0	619.0	442.0	3365.0	98762.4	1292486.0	1755328.487204
